Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,70.3813029558,71.0587792758,70.0664172439,2372400,70.238173
2013-08-27,69.4652791321,69.5893214057,68.4824542509,3712600,68.616048
2013-08-28,68.4156602907,69.0263430801,68.2629931716,2963200,68.711465
2013-08-29,68.5206228622,69.2935242501,68.3011622075,2957100,68.911845
2013-08-30,68.8450524969,68.9309260821,68.1962000611,3779500,68.616048
2013-09-03,69.2648921207,70.0473383087,68.8355079717,3994100,69.112225
2013-09-04,69.1980992118,70.1332115618,68.9213888641,2913300,69.789701
2013-09-05,69.808789211,70.82977514,69.5511522359,3600700,70.419472
2013-09-06,70.5339712148,70.6293895966,69.0836011254,3369200,69.990081
2013-09-09,70.2190848319,70.4290092774,69.799245483,3189500,70.285886
2013-09-10,70.8202323845,71.240080327,70.6103088904,3269100,71.182823
2013-09-11,71.2782413234,71.7744256887,70.9919880856,3297900,71.736257
2013-09-12,71.841218,72.1465598708,71.5358761292,2502200,71.841218
2013-09-13,72.1179351834,72.2801461442,71.6312946673,2664400,71.850762
2013-09-16,72.843117177,72.928998396,71.9843488794,4536200,72.137016
2013-09-17,72.1370157707,73.4728883768,72.1370157707,4047200,73.396551
2013-09-18,73.4633443661,74.2457829159,73.0339602197,4136000,74.083571
2013-09-19,74.2457824951,74.3316637132,73.6160187023,3997600,74.016778
2013-09-20,74.0644908683,74.3221192566,73.6160190385,10105500,73.77823
2013-09-23,73.749605398,74.1026598021,72.6427372888,4078900,72.938542
2013-09-24,72.8908289172,73.4156381213,72.4805257775,3020200,72.585488
2013-09-25,72.6427371153,73.0530412113,72.1561042303,3090300,72.509151
2013-09-26,72.51869413,73.4728874738,72.3087706401,2927000,72.824036
2013-09-27,72.5759449167,72.6045688091,71.9748050094,2522500,72.413733
2013-09-30,71.5358764738,72.37556376,71.2209907596,3330500,72.060679
2013-10-01,72.1751849707,72.5282393774,71.9938863235,2969600,72.451902
2013-10-02,71.9063540706,72.0594926935,70.9875462607,4363400,71.379958
2013-10-03,70.9301231497,71.1023997925,70.1548801715,4364500,70.843981
2013-10-04,70.7099882839,71.1406846776,70.4515771473,2883500,71.121539
2013-10-07,70.3462968715,70.3750086886,69.772043301,3320300,69.810327
2013-10-08,69.8964619849,69.9634575006,69.0350768495,3945800,69.121219
2013-10-09,69.2743499665,69.5901923952,68.9872270116,4701500,69.121219
2013-10-10,70.0495991675,71.4660921821,69.8773225244,3769900,71.456527
2013-10-11,71.4660916797,72.2030566982,71.217253384,3913900,72.164773
