Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,97.1298938371,97.8371252968,96.633910482,2480400,96.927826
2013-08-27,95.8899400938,96.5696169774,94.6591651817,4376900,94.796939
2013-08-28,94.6959042993,95.357216053,94.2091085586,2816300,94.852046
2013-08-29,94.8612331812,96.8451656971,94.6040580196,3095400,96.376736
2013-08-30,96.3675489973,96.4042893557,95.1551474809,2723800,95.449063
2013-09-03,96.5604307279,97.2033755224,96.128748736,3659800,96.450217
2013-09-04,96.4869564871,98.3882224959,96.0920075095,3837500,97.699358
2013-09-05,97.5064767004,98.2596342962,97.0564130528,2590500,97.956533
2013-09-06,98.2780019798,98.6270239043,96.5420643587,3265200,97.42381
2013-09-09,97.892239541,98.6270237473,97.8738661471,2907600,98.452516
2013-09-10,98.8658323374,99.6098041621,98.6453984524,3848000,99.352629
2013-09-11,99.4261099604,100.326229,99.0127940139,3313700,100.326229
2013-09-12,100.289488619,101.235528285,100.243561563,4766800,100.849766
2013-09-13,100.969165766,102.255048,100.62932411,3503400,102.255048
2013-09-16,104.459415749,106.443341839,104.027726409,7711200,106.241274
2013-09-17,106.342307787,107.903737656,106.167792692,5308300,107.563896
2013-09-18,107.720036927,109.777443725,107.049545822,6330600,108.748744
2013-09-19,109.501901479,110.567341562,109.125319465,5766700,109.336574
2013-09-20,109.437609325,109.501902427,107.12302,8745400,107.12302
2013-09-23,107.600637039,108.721190881,106.360681854,5450200,107.931292
2013-09-24,107.637376177,110.117285622,107.279167555,5020000,109.299834
2013-09-25,109.593749825,109.860111684,108.528309736,3566600,108.849778
2013-09-26,109.033472217,109.759077076,108.849777772,2820400,109.648856
2013-09-27,108.849777894,109.455974981,108.188467054,2848900,109.061026
2013-09-30,107.784330263,108.280313622,106.884218575,4032900,107.922105
2013-10-01,108.353793838,108.656896053,107.53634222,2880700,108.151726
2013-10-02,107.811884357,108.234387,106.80155159,2871900,108.234387
2013-10-03,107.784330464,107.912918504,105.377901732,4455100,105.846325
2013-10-04,105.873878027,107.701669752,105.855511063,3998000,107.646556
2013-10-07,106.094319522,107.619002605,105.993286062,3822000,107.178133
2013-10-08,107.159760109,107.756777848,106.011652606,4574000,106.030026
2013-10-09,105.993285896,105.993285896,104.101199231,4722200,105.139093
2013-10-10,106.636222532,109.299833763,106.461715703,5635400,109.207987
2013-10-11,108.932437727,109.667230201,108.225207182,4505500,108.362981
2013-10-14,107.848624635,109.805004414,107.178133527,3617800,109.722337
2013-10-15,109.685596808,109.841737592,108.509935641,2749700,108.546676
2013-10-16,109.09776659,110.824524869,109.070212928,4036900,110.530602
2013-10-17,110.043805962,112.413500763,110.043805962,4114200,112.321654
2013-10-18,112.514535035,112.845190914,111.366427535,3924200,112.532902
2013-10-21,112.689048835,112.734969461,111.191912986,3207900,111.568495
2013-10-22,112.055291965,113.70856952,111.945070889,4431200,112.496168
2013-10-23,115.729236592,119.394000343,115.637389828,10766300,118.503068
2013-10-24,118.493873661,119.008236841,117.511100076,4976200,118.46632
