Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,75.1943115596,75.9106148023,74.7824297634,4123300,74.818246
2013-08-27,74.209385037,74.8003417544,73.8512369937,5569900,74.048216
2013-08-28,73.2513254312,74.0124068106,72.9379420884,6762900,73.82437
2013-08-29,73.8691413894,74.3705543766,73.4393546079,3706400,73.896002
2013-08-30,73.9497226999,74.1019432734,73.6094796422,4425700,73.904958
2013-09-03,74.4511434681,74.8003421549,73.1707441049,7544200,73.878098
2013-09-04,74.0929871158,74.9794150199,73.6900672134,4482200,74.800341
2013-09-05,74.6481284593,74.7824306181,74.057171741,3728400,74.272062
2013-09-06,74.513819588,75.4092031339,73.7796059757,5566500,74.666033
2013-09-09,75.2480339828,77.0298454458,75.2301227304,6702200,76.635874
2013-09-10,77.7282430212,77.7998745995,77.1641531839,6298400,77.549169
2013-09-11,77.4506760571,78.014765,77.2357857987,4382900,78.014765
2013-09-12,77.8446467263,78.095353222,77.558124889,3980600,77.755103
2013-09-13,77.9879039364,78.0774413944,77.3432268973,3276000,77.907323
2013-09-16,78.7579352657,78.9907367768,77.9252285736,4866600,78.059537
2013-09-17,78.2207061192,78.3012870554,77.602888797,3415400,77.961044
2013-09-18,77.2805519671,78.8027075749,77.1820588818,5564700,78.650487
2013-09-19,78.8295671199,79.0175967664,78.1759344548,4765200,78.569905
2013-09-20,78.4445528193,78.4803690563,75.883755,13435200,75.883755
2013-09-23,76.1076003894,76.4567990722,75.5524599121,6048400,76.134461
2013-09-24,76.223997089,76.5015704598,75.6867687627,3720900,76.206093
2013-09-25,76.2329535692,76.6000644015,75.5972321523,3824700,75.659909
2013-09-26,75.7404896834,75.9732911934,75.1226804163,3475100,75.391291
2013-09-27,74.8719739635,75.1405845474,74.6570765426,3017600,75.033143
2013-09-30,74.2720609356,75.0600029169,74.1646193892,5401500,74.674988
2013-10-01,74.8182467107,75.4808350063,74.3884661936,3866000,74.997327
2013-10-02,74.7824303682,75.4360630368,74.612311973,3324900,75.274894
2013-10-03,75.1137245258,75.4539684814,74.6928933652,4223500,75.185357
2013-10-04,75.1853563684,75.5255994257,74.8003414481,3212000,75.391291
2013-10-07,74.7287091524,75.3554821056,74.5854513679,3364300,74.791386
2013-10-08,74.8003423329,75.1137247833,73.9855397245,5671300,74.182525
2013-10-09,74.3616051117,75.113723698,73.8243696196,4577500,74.78243
2013-10-10,75.6061878781,76.0628290064,75.2748941777,4317100,75.86585
2013-10-11,75.785261184,76.8686743613,75.5255990646,4110300,76.653785
2013-10-14,76.1613214324,77.3790430357,75.9822474121,4689600,77.217874
2013-10-15,77.2178741407,77.6745215335,76.7254167788,4896500,76.779138
2013-10-16,77.0567053527,77.4417202734,76.644828926,3549500,77.244735
2013-10-17,76.9381743031,77.5332626202,76.5955411115,3850700,77.407031
2013-10-18,77.8217917441,79.129194269,77.7857246653,6752700,78.750494
2013-10-21,79.093126695,79.165260852,78.6152507537,3883500,79.07509
2013-10-22,79.2373878941,80.400523,78.9308289972,9152900,80.400523
2013-10-23,75.8742212237,76.3250484336,74.8824022636,20968800,75.522576
2013-10-24,75.1258460566,76.6406254778,74.9545290124,8368700,76.216847
2013-10-25,76.0275002185,76.4422603475,75.387326486,4886400,76.433242
2013-10-28,76.1897988751,76.3971820977,75.8742216298,3979200,75.991434
2013-10-29,75.6578258996,75.8291348293,75.0987974549,5324100,75.802087
2013-10-30,75.8922510079,76.0545488041,75.0266636631,4657000,75.279126
2013-10-31,75.2340462549,75.9824149117,75.161913,4651300,75.161913
2013-11-01,75.5406070462,75.5586437414,74.6569893137,5880200,75.36929
2013-11-04,75.5676557442,75.7299535411,75.2430592487,3892500,75.639789
2013-11-05,75.3873272504,75.9102877176,75.1619136445,4010900,75.784057
2013-11-06,76.0094711577,76.0635686202,75.6037221559,3664100,75.937337
2013-11-07,75.6938858176,76.126682644,75.2881440338,5431600,75.423394
2013-11-08,75.306174912,76.0275011573,75.2881445284,4557300,75.955367
2013-11-11,75.9102871767,76.1627495118,75.5766732391,2522500,75.874221
2013-11-12,75.7209415839,75.9914343058,75.3242118322,3483000,75.603722
2013-11-13,75.2520775278,75.9643854263,74.8373173933,3952800,75.9193
2013-11-14,75.7389712574,75.9192994364,75.3422415094,4496300,75.522576
2013-11-15,75.7389709515,75.8381538389,75.2881437434,4743900,75.504539
2013-11-18,75.7840563475,76.6135766066,75.5045389703,4803100,75.775038
2013-11-19,75.8381546523,76.1897989767,75.2701141674,5010300,75.441424
2013-11-20,74.9996152134,75.4774911579,74.3504231245,7443000,74.548788
2013-11-21,74.8824026143,74.9184624797,73.818450394,6208500,74.043864
2013-11-22,74.1340276864,74.7922318097,73.9356628114,4403800,74.729116
2013-11-25,76.099635,76.5865283878,75.6217590581,8111400,76.099635
2013-11-26,76.4602977493,76.4873464803,75.7479898537,3834900,76.063568
2013-11-27,76.1266827423,76.5775099527,76.0365191036,3053600,76.343078
2013-11-29,76.3160300789,76.8029243729,76.2168480915,2284400,76.279963
2013-12-02,76.3701267847,76.7217711073,75.7660201256,4834700,75.964385
2013-12-03,75.5586431905,75.6938859438,75.0807609374,3924300,75.621759
2013-12-04,75.5135581248,76.0815977078,74.9365001942,5246700,75.711923
2013-12-05,75.6668369254,76.2619324477,75.4684720519,5291900,76.108653
2013-12-06,76.6947232514,77.163587157,76.57750998,5759300,77.091453
2013-12-09,77.2717816752,78.0201566528,77.1455509571,6023400,77.623426
2013-12-10,77.5152322117,78.3267230016,77.4701467852,4987000,77.920974
2013-12-11,77.5693288147,77.7406449577,76.7488268995,5624100,76.893088
2013-12-12,76.9742408203,77.2717813701,76.4963576644,4551700,77.154569
2013-12-13,77.2447328101,77.7496637965,77.1545691709,4226200,77.587366
2013-12-16,77.9931078105,79.2103394817,77.9390103483,6976200,78.786561
2013-12-17,78.6423000331,79.0300123384,77.8849067077,4764400,78.371801
2013-12-18,78.4529534716,79.7603496854,78.128357878,6963200,79.498869
2013-12-19,78.8947619215,79.2013208183,78.6783666635,4299700,78.930829
2013-12-20,79.2103394179,80.3464266981,79.1742732409,7389700,80.184128
2013-12-23,80.5267547233,81.2120138882,80.4906876448,5733300,81.112831
2013-12-24,81.1488978705,82.0325219078,81.139879523,2675700,81.969407
2013-12-26,82.0415336865,82.6546586907,81.7800530036,4790800,82.185802
2013-12-27,82.1767830872,82.4382637712,81.653822621,3373800,81.93334
2013-12-30,81.9153024033,82.0776011008,81.4013602846,2625000,81.93334
2013-12-31,82.0505521429,82.2128499384,81.563657855,3098900,81.879236
2014-01-02,81.5185792859,81.5546391509,80.5447907141,4898000,81.031685
2014-01-03,81.1488977956,81.3743114006,80.7792158768,3722000,80.9866
2014-01-06,81.3202140579,81.4193969459,79.6882150472,5233900,79.922647
2014-01-07,80.0398605871,80.4546270324,80.0218302035,3512100,80.184128
2014-01-08,80.0488794052,80.9866009141,79.9496965162,4421600,80.373475
2014-01-09,80.4816752165,80.9685695043,79.9677321979,4466400,80.887417
2014-01-10,80.6169259335,81.6898892918,80.5087246973,5416000,81.608744
2014-01-13,81.3833298407,82.2849842617,80.9866000922,5213600,81.049715
2014-01-14,81.0226666146,81.7890710639,81.0226666146,3712100,81.653822
2014-01-15,81.9423504351,84.0341886754,81.9423504351,10121900,83.321888
2014-01-16,83.3944926377,84.2748150398,83.2220568932,4771000,83.503401
2014-01-17,83.6304583739,83.7302885445,82.5958547876,6833400,82.9861
2014-01-21,83.1313040068,83.3581907585,81.352512781,5544900,82.223757
2014-01-22,82.2146789255,82.4234183653,81.089322463,4787300,81.352512
2014-01-23,80.499415894,80.8442882905,79.9095157914,5014800,80.299761
2014-01-24,79.8459876041,79.8550585363,77.940133463,8087400,78.203323
2014-01-27,83.285584927,83.7756612114,80.8352107655,22202300,82.849966
