Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,21.507806731,21.6972621801,21.4356328829,35708500,21.498785
2013-08-27,21.3995446379,21.4626985581,21.1469379788,39768700,21.183024
2013-08-28,21.2461755052,21.2732416003,21.0928060789,28035900,21.15596
2013-08-29,21.1740016576,21.4266110266,21.15596,26605500,21.15596
2013-08-30,21.1649809711,21.2461765537,20.9484594174,35248400,21.029655
2013-09-03,21.2732413083,21.4446541942,21.1649796362,31875000,21.183024
2013-09-04,21.2191117207,21.5799809676,21.2010682583,27443900,21.444655
2013-09-05,21.4807399644,21.5078060588,21.2371550391,23926000,21.372481
2013-09-06,21.4897636437,21.5078071061,21.1018283013,28615800,21.246176
2013-09-09,21.3003082354,21.6341113871,21.2732421396,22744700,21.579981
2013-09-10,21.6792203997,21.8776975786,21.6521543046,29302400,21.796502
2013-09-11,21.8325896484,22.0220450948,21.8145452844,25153200,21.994979
2013-09-12,22.0310665981,22.0581326927,21.8686754439,22340000,21.913785
2013-09-13,21.9498717311,22.0220455798,21.8325901291,18509900,21.94085
2013-09-16,22.0400885566,22.076174578,21.7694357278,32119900,21.994979
2013-09-17,22.0040006574,22.1483483511,21.9228050797,19999500,21.985959
2013-09-18,21.9498715448,22.373892,21.9228054496,29541300,22.373892
2013-09-19,22.1032410563,22.3287843324,22.022045477,40090900,22.202481
2013-09-20,22.3107410849,22.3287845471,22.040089151,37420400,22.112263
2013-09-23,21.9949801427,22.0581340666,21.7513952005,26910300,21.895742
2013-09-24,21.778458,21.9408500622,21.5980251821,29762400,21.778458
2013-09-25,21.8235683565,22.1483488706,21.7604162391,26563800,22.040089
2013-09-26,21.92280585,21.9769380414,21.3724820528,54577900,21.444655
2013-09-27,21.0657414616,21.2461751758,20.7950886349,82455500,21.047698
2013-09-30,20.8582432376,21.2281342133,20.7680250243,40335700,21.137916
2013-10-01,21.2015290103,21.3378440275,21.0833902375,30137600,21.11974
2013-10-02,20.9925133019,21.2287935812,20.9016366209,40084700,21.192442
2013-10-03,21.1197403633,21.219704711,20.847111233,38161100,20.910724
2013-10-04,20.8652850825,20.9834256768,20.7653216421,33607800,20.919812
2013-10-07,20.6835332199,20.9379888431,20.5653926223,29575900,20.801672
2013-10-08,20.8743730521,20.8743730521,20.556306481,31865700,20.57448
2013-10-09,20.592655688,20.683532368,20.2564128808,45438300,20.447253
2013-10-10,20.6290072017,20.9743376758,20.5381296132,38817500,20.910724
2013-10-11,20.9198117234,21.2469668624,20.8743724746,27773800,21.156092
2013-10-14,21.0470389769,21.2287932447,20.9652499653,29103100,21.210617
2013-10-15,21.2287939372,21.283319038,21.0561273318,26201200,21.065215
2013-10-16,21.101564793,21.1742661391,20.7289703943,40483000,20.901637
2013-10-17,20.7198815179,20.7925828598,20.3745510529,69366300,20.701708
2013-10-18,20.7744101367,21.0288630254,20.6835325472,44486600,20.865285
2013-10-21,21.0016019349,21.0016019349,20.7289700738,34594600,20.838023
2013-10-22,20.8925487117,20.9016363797,20.3745516362,64553000,20.583568
2013-10-23,20.5472182893,20.5744794758,20.1746239007,49021400,20.229149
2013-10-24,20.3018500875,20.3836390986,20.0837460579,50130300,20.329114
2013-10-25,20.5290425961,20.5653923604,20.3109385579,34253400,20.410902
2013-10-28,20.356376885,20.492691,20.2745869619,24072100,20.492691
2013-10-29,20.5926556443,20.8380226798,20.5017780558,30074200,20.747146
2013-10-30,20.7834975047,20.8471111803,20.592655569,30465600,20.638093
2013-10-31,20.5744803472,20.638094026,20.3927287967,34497400,20.501779
2013-11-01,20.5926560133,20.6108313496,20.3563766416,33328700,20.510867
2013-11-04,20.4926900877,20.5744790983,20.3745513144,28617000,20.519954
2013-11-05,20.5472181823,21.1288280234,20.3745515821,46343600,20.96525
2013-11-06,21.0924765065,21.237881012,20.9198117234,48257800,21.156092
2013-11-07,21.2742301227,21.4105442297,20.9652494204,35502900,21.001601
2013-11-08,21.1560925396,21.3741956682,20.9834259345,30884100,21.365108
2013-11-11,21.3560194304,21.4287207732,21.265142752,22694900,21.310582
2013-11-12,21.2924059621,21.6650003472,21.2924059621,38031100,21.565036
2013-11-13,21.4468962833,21.810403,21.3651072721,75234900,21.810403
2013-11-14,19.0295772845,19.4839606746,18.8750860232,243255400,19.420347
2013-11-15,19.5021348377,19.7111530215,19.3203823844,85506000,19.574838
2013-11-18,19.6293627981,19.7384139048,19.2658569883,66008900,19.347646
2013-11-19,19.3658197425,19.5748379256,19.1931558668,57309700,19.465785
2013-11-20,19.5112221214,19.5112221214,19.2840304233,44299700,19.293119
2013-11-21,19.4112604659,19.5293992454,19.3112952055,40695500,19.511223
2013-11-22,19.4566975679,19.5384865815,19.3658199773,41105000,19.502135
2013-11-25,19.4930489342,19.5566617019,19.32947,37566000,19.32947
2013-11-26,19.3567320123,19.4566972695,19.1568042243,48629300,19.274943
2013-11-27,19.3476462449,19.4021713446,19.2204179831,40021100,19.32947
2013-11-29,19.4385214465,19.4839616052,19.2658575676,25043700,19.311295
