Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,105.005002321,105.162851834,103.93513252,3783400,104.215753
2013-08-27,103.68958921,104.943615894,103.540510869,5185600,104.189446
2013-08-28,104.759458799,107.302591585,104.759458799,7615400,106.820271
2013-08-29,106.241493681,106.601036287,105.285623676,5488800,105.55748
2013-08-30,105.689016126,106.004715153,105.294394973,4696100,105.610094
2013-09-03,106.408106833,106.530884815,105.233008414,4154300,105.715329
2013-09-04,105.539936084,106.346721604,105.180393481,3671200,105.987179
2013-09-05,106.18010702,106.697499136,106.031028679,3337300,106.434421
2013-09-06,106.574729358,107.644599164,104.364838792,5690200,106.294108
2013-09-09,106.294108083,107.399056436,106.294108083,4482000,107.179821
2013-09-10,107.705984316,107.872605,106.29410724,6000800,107.872605
2013-09-11,107.907684069,108.740776093,107.679677462,4995800,108.670619
2013-09-12,108.784626187,109.284482982,108.425076564,4529700,108.644312
2013-09-13,108.723239829,109.468639433,108.574155348,3094000,108.863547
2013-09-16,109.600181444,109.784338333,108.723239703,4277800,108.810933
2013-09-17,108.828468735,109.784338744,108.810933408,5458200,109.038933
2013-09-18,109.056475933,110.871744463,108.582926516,6296900,110.33681
2013-09-19,110.371888655,110.599895262,109.836953315,4440800,110.003574
2013-09-20,110.196503153,110.69635907,109.389711486,10264700,109.547561
2013-09-23,109.2844817,110.161423435,109.240631982,5450600,110.073724
2013-09-24,109.915873722,110.35434459,109.100324923,6097900,109.170475
2013-09-25,109.416017583,109.644024188,108.802161,4498900,108.802161
2013-09-26,108.828468463,109.126632163,107.881370504,5022600,108.293534
2013-09-27,108.065534139,108.091841514,107.434135204,4518800,107.548135
2013-09-30,106.63611342,107.004428072,105.671479263,6421800,106.548421
2013-10-01,106.346722282,106.758885777,105.969636457,4702300,106.390572
2013-10-02,106.145028888,106.267799855,105.02254434,5899800,105.960872
2013-10-03,105.77671556,105.811794106,103.417739643,10203700,103.698361
2013-10-04,103.917596074,103.952674621,103.058190539,6538500,103.593125
2013-10-07,102.979268006,103.917595663,102.786339947,5677400,103.365125
2013-10-08,103.382660911,103.558046628,102.347869657,6744200,102.365412
2013-10-09,102.207562794,102.42679823,101.128921819,8861700,101.839242
2013-10-10,101.058764294,102.058477,100.35721441,11133000,102.058477
2013-10-11,102.225098838,103.224811547,101.663856123,6535800,103.189733
