Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,50.5289473586,50.7997187688,50.2669130458,2781300,50.284382
2013-08-27,49.7166423652,49.9961465084,49.4720770041,3196400,49.568158
2013-08-28,49.4196737258,49.7341114111,49.1401660882,4018500,49.603096
2013-08-29,49.472076046,49.7166414023,49.3497933678,2532100,49.489545
2013-08-30,49.5157465921,49.6642344479,49.306122638,3341800,49.454607
2013-09-03,49.8476569446,50.0747577147,48.9916808155,4132700,49.253716
2013-09-04,49.1139630513,50.2669122626,49.1139630513,4303000,49.987409
2013-09-05,50.3542619088,50.537684183,49.9612086881,3168200,50.319324
2013-09-06,50.3979322784,50.651234736,49.3759958315,5453400,49.882599
2013-09-09,50.0922230978,50.5114814886,50.0922230978,3868700,50.223242
2013-09-10,50.6250291833,51.0442805896,50.3542612671,4021100,50.694905
2013-09-11,50.8346568151,51.384928,50.73857582,3288800,51.384928
2013-09-12,51.4722726336,51.498474318,50.3629940428,4741100,50.712374
2013-09-13,50.8695945926,51.5508811855,50.808451506,3477100,51.428602
2013-09-16,52.1797674018,52.2671086781,51.7430426779,4508000,52.144826
2013-09-17,52.092418954,52.3369843094,51.7867131332,4549100,52.07495
2013-09-18,51.9526683205,52.904725456,51.6382262698,5670600,52.791179
2013-09-19,52.7911785008,53.1580265375,52.6426941376,3466300,52.695101
2013-09-20,52.7387725597,53.0532137395,51.900261,9469100,51.900261
2013-09-23,51.9614046908,52.3020475536,51.7517763653,2514700,51.891528
2013-09-24,51.8915280415,52.3282527738,51.6906333195,2629200,51.812916
2013-09-25,51.7343074523,52.1710321846,51.7081057677,2666900,51.812916
2013-09-26,51.8129148109,52.2234378492,51.7255735349,2812800,51.978869
2013-09-27,51.73430699,51.8653258934,51.4810054072,2486100,51.542145
2013-09-30,50.9831411879,51.4286021412,50.8695947322,3257900,51.149098
2013-10-01,51.1578304018,51.2801139541,50.8346564974,2762200,51.262645
2013-10-02,50.9569388679,51.5683531319,50.913264736,3485200,51.524679
2013-10-03,51.2713820985,51.4286026883,50.4154015849,4372100,50.450336
2013-10-04,50.441603179,51.2888509607,50.2232429961,2363800,51.227707
2013-10-07,50.7473077761,51.3150514003,50.5638846329,2769000,50.756044
