Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-30,137.900997843,137.900997843,136.981157665,6326800,137.371403
2013-09-03,138.328402351,138.625715493,137.148407601,5430300,137.612971
2013-09-04,137.529352136,138.820838384,137.343529565,4577700,138.607129
2013-09-05,138.60712975,139.099579962,138.458479682,6021300,138.551384
2013-09-06,139.090279278,139.34114723,137.297071056,9001900,138.523511
2013-09-09,138.904457072,140.093738451,138.885870819,4402500,139.805711
2013-09-10,140.734837856,141.060037812,140.391065584,7917100,141.032151
2013-09-11,141.060037433,142.323636875,141.013578306,7044000,142.295764
2013-09-12,142.463013827,142.537345829,141.9519913,5555700,142.184273
2013-09-13,142.472300045,142.899704877,142.351523781,4829600,142.7975
2013-09-16,144.321268454,144.46993153,143.698755353,6569000,143.958909
2013-09-17,144.033239985,144.488503754,143.99606748,4517600,144.284094
2013-09-18,144.163317856,145.928653199,143.689453897,9637300,145.58488
2013-09-19,145.752116591,145.798575718,145.148189745,7626600,145.241108
2013-09-20,145.375162186,145.403088441,143.643618,9381000,143.643618
2013-09-23,143.466737306,143.66223971,142.731302481,8662000,143.094368
2013-09-24,143.12229383,143.382955323,142.386845974,5774900,142.48925
2013-09-25,142.675435482,142.796461046,141.67933916,7187200,141.893451
2013-09-26,142.154112692,142.936096244,141.940000852,5026300,142.386847
2013-09-27,141.781742627,141.912072908,141.279029076,6634800,141.697962
2013-09-30,140.376018665,141.074221589,140.05950373,9426100,140.571522
2013-10-01,140.571521573,141.288346963,140.357409734,8616300,141.148698
2013-10-02,140.47842216,140.664620777,139.780219239,8895300,140.552899
2013-10-03,140.255007448,140.348092793,138.867905383,10949200,139.333374
2013-10-04,139.342678077,140.161907495,139.10994377,6867800,140.040881
2013-10-07,138.821354813,139.50094923,138.625866373,6081100,138.709647
2013-10-08,138.709646653,138.839976934,137.313240814,10388000,137.341168
2013-10-09,137.490121442,138.076616552,136.810541918,11075200,137.573903
2013-10-10,138.839977791,140.58082669,138.793428137,12792200,140.534291
2013-10-11,140.497045458,141.707266654,140.348092708,8186000,141.660717
2013-10-14,140.748402124,142.321688841,140.645999028,6470100,142.247212
2013-10-15,142.061027222,142.247211876,140.888037,8144700,140.888037
2013-10-16,141.846901802,142.954719904,141.72588927,8714800,142.917488
2013-10-17,141.604862653,142.982645095,141.549008281,9916600,142.880242
2013-10-18,143.206440307,143.336915108,142.488819116,7714400,143.150524
2013-10-21,143.23439792,143.299629263,142.842972584,3588300,143.08528
2013-10-22,143.551264773,144.324801341,143.355558629,7501700,143.756299
2013-10-23,143.346230917,143.551265145,142.889574237,5428400,143.355559
2013-10-24,143.700382659,144.408674837,143.61650913,5182600,144.268885
2013-10-25,144.37140298,144.87466,144.259556385,4565000,144.87466
2013-10-28,144.641667045,145.061050534,144.445960901,4968800,144.8001
2013-10-29,145.116980602,145.85323,145.033092162,5779100,145.85323
2013-10-30,146.067579722,146.198054524,144.800100238,6100200,145.266085
2013-10-31,145.023778704,145.554993877,144.548478906,8157400,144.725541
2013-11-01,144.995819467,145.527034636,144.529834708,5909900,145.25677
2013-11-04,145.629553109,145.722755653,144.949219084,4042500,145.443162
2013-11-05,144.716226591,145.55499357,144.334115359,5442800,145.284728
2013-11-06,145.843915973,146.589480411,145.73207031,7548400,146.52425
2013-11-07,146.990234351,147.064793777,145.089009065,10211000,145.247456
2013-11-08,145.070379839,146.775885,144.995820413,7594900,146.775885
2013-11-11,146.626766466,146.999548683,146.459004497,3795200,146.887717
2013-11-12,146.710640272,146.990233924,146.198054239,4094800,146.664039
2013-11-13,145.871873526,147.363016375,145.853230407,5062900,147.307101
2013-11-14,147.344386523,148.006077425,147.204582707,6931000,147.931518
2013-11-15,148.060382315,148.741996,147.976337019,6529100,148.741996
2013-11-18,149.124826743,149.348910806,148.527244344,5236000,148.872717
2013-11-19,149.003437624,149.330232094,148.545907999,5017300,148.770007
2013-11-20,148.975427616,149.283557908,147.854963418,8401100,148.247125
2013-11-21,148.732649708,149.283557185,148.620607677,4579900,149.264879
2013-11-22,149.236868646,149.797093741,148.91006017,4466400,149.769083
2013-11-25,150.151912698,150.189269068,149.675718894,5114400,149.965171
2013-11-26,149.899803364,150.301311508,149.825118636,5231300,149.862461
2013-11-27,150.133233512,150.27330029,149.778429235,6272800,150.189269
2013-11-29,150.432032775,150.870883283,149.937160784,2887900,150.067881
2013-12-02,150.105224097,150.179922831,149.124826679,5655700,149.3209
2013-12-03,148.676629997,149.040780838,147.957673942,8660700,148.452545
2013-12-04,147.957672457,148.947415497,147.369422619,7138200,148.237778
2013-12-05,147.948327292,148.35916706,147.537487525,5823000,147.640197
2013-12-06,148.956748162,149.563662179,148.583264767,6345300,149.544998
2013-12-09,149.666372549,149.89047155,149.498309969,3967700,149.610352
2013-12-10,149.180846926,149.573008507,149.059458333,4047600,149.134158
2013-12-11,149.246199547,149.302221029,147.742906333,7906700,147.817606
2013-12-12,147.724243252,147.92964913,146.659799602,7078700,147.033283
2013-12-13,147.098635592,147.500143735,146.687809831,8886500,147.201346
2013-12-16,147.873627011,148.807349507,147.76158498,7076500,148.368499
2013-12-17,148.713985692,148.732649871,147.892305227,6001100,148.256457
2013-12-18,148.611275918,151.066955807,147.630864498,15330700,151.038946
2013-12-19,150.777504599,151.272376587,150.590762901,8018300,151.151002
2013-12-20,151.277353495,152.129123084,151.267999047,7978200,151.642396
2013-12-23,152.166571911,152.428652775,151.941925687,4992800,152.213361
2013-12-24,152.306966365,152.812404218,152.18528085,2462000,152.718812
2013-12-26,153.13065654,153.963701321,153.111932667,4971600,153.935623
2013-12-27,154.216414248,154.366178084,153.710976393,6176900,153.944978
2013-12-30,154.019860295,154.14153177,153.879450907,4043600,154.057294
2013-12-31,154.384902528,154.918419641,154.263217948,5667800,154.880985
2014-01-02,154.24449188,154.450415165,153.355288586,9291100,153.608015
2014-01-03,153.879451384,154.319375342,153.542488134,6127600,153.870096
2014-01-06,154.43170569,154.497219588,153.233619331,7446800,153.402093
2014-01-07,154.122821816,154.712495568,153.991780916,5387200,154.412981
2014-01-08,154.160255826,154.281941341,153.4208173,9461800,153.832662
2014-01-09,154.394258209,154.431705954,153.055775562,8212900,153.682898
2014-01-10,154.029215121,154.1508997,153.055774057,7497200,153.673528
2014-01-13,153.411448379,153.767135503,151.764081741,10676100,151.857688
2014-01-14,152.325690924,153.008971873,151.979359185,7335400,152.990248
2014-01-15,153.186816339,154.253862735,153.121288401,7780800,154.038585
2014-01-16,153.710976222,153.813937865,153.055774532,5170900,153.48633
2014-01-17,153.432930369,154.182346145,153.264319946,8013200,153.704601
2014-01-21,154.594525877,154.613264948,152.496163957,9675200,153.376727
2014-01-22,153.40482958,153.442307722,152.683528967,5418100,153.133173
2014-01-23,152.158928555,152.158928555,150.884939627,9456000,151.48447
2014-01-24,150.54770395,150.716314373,148.458705,14663200,148.458705
2014-01-27,148.674171494,149.048872357,147.550040803,14215300,148.0278
2014-01-28,148.449341945,149.105075481,148.271354492,8308000,148.889623
2014-01-29,147.690564203,148.243252519,146.838103206,14271200,147.165977
2014-01-30,148.290093291,148.730374344,147.418893225,7864700,148.168309
2014-01-31,146.350980825,147.728028087,145.995019034,10693100,146.838103
2014-02-03,146.669491767,146.847466105,143.559421398,18172800,143.821715
2014-02-04,144.215154709,144.758480983,143.568784153,11853400,144.336939
2014-02-05,143.99970204,144.739741721,143.437636696,11603200,144.430607
2014-02-06,144.917729785,146.276037978,144.917729785,10426200,146.266675
2014-02-07,146.660115292,147.821710071,146.182369211,11528500,147.802971
2014-02-10,147.784231978,147.840449192,147.194078636,4790700,147.774869
2014-02-11,148.065264264,149.966897784,147.952856067,7620400,149.657764
2014-02-12,149.882592642,150.304134623,149.2643232,5249600,149.610937
2014-02-13,148.627330385,150.322874412,148.580489264,5085000,150.154249
2014-02-14,149.957536645,151.596877511,149.788911233,5824400,151.372048
2014-02-18,151.475092642,151.531296741,150.941143399,4966400,151.203437
2014-02-19,150.838099106,152.074623011,150.238569667,8245400,150.369716
2014-02-20,150.407180345,151.493831955,149.976275383,7035600,151.109755
2014-02-21,151.302311532,151.809526507,150.870227341,5268200,151.048697
2014-02-24,151.245955533,152.814583263,151.198987757,6704400,151.847107
2014-02-25,151.922251496,152.391901078,151.349279006,6067800,151.696815
2014-02-26,151.89407544,152.410678712,151.480780987,5032900,152.016174
2014-02-27,151.828316003,152.692470295,151.574701472,5292500,152.683082
2014-02-28,152.692470747,153.829028375,152.175853387,10010400,153.124554
2014-03-03,151.781349464,152.344934603,150.748128828,9144400,151.687428
2014-03-04,153.227877418,154.045062994,153.152731606,7947500,153.697527
2014-03-05,153.838417068,153.875996549,153.303024056,4968400,153.434525
2014-03-06,153.875996556,154.336244696,153.819627335,4651800,154.129597
2014-03-07,154.758926713,154.881039362,153.866595318,7381900,154.364422
2014-03-10,154.092031071,154.195354919,153.274831404,3995400,154.035675
2014-03-11,154.308066223,154.505324684,153.209088076,5198700,153.500268
2014-03-12,152.78640599,153.641171049,152.607936331,5250800,153.321799
2014-03-13,153.800850643,154.073241767,151.020519467,9500500,151.274134
2014-03-14,150.973550812,151.790750477,150.644804558,8603100,150.898405
2014-03-17,151.602879869,152.795793568,151.537136442,6641400,152.514001
2014-03-18,152.81458331,153.7069147,152.683082366,7094600,153.368767
2014-03-19,153.349977535,153.641171549,151.36805535,7936400,152.344934
2014-03-20,152.025576024,153.54723598,151.678025939,6616200,153.387557
2014-03-21,153.812855439,154.499726232,152.928384949,7629500,153.022483
2014-03-24,153.492945419,153.803452238,152.222692302,6336000,152.843705
2014-03-25,153.718757755,154.048086819,152.966029804,5991100,153.73758
2014-03-26,154.377415552,154.622051101,152.730798464,6133800,152.740203
2014-03-27,152.66492622,153.069516972,151.996863562,7713700,152.693153
2014-03-28,153.003660524,154.142184268,152.730798195,4536000,153.229487
2014-03-31,154.048086729,154.744376173,153.972810923,6368400,154.537371
2014-04-01,154.941961207,155.544152598,154.857281807,4076100,155.205419
2014-04-02,155.431245258,155.788801101,155.017236795,5597700,155.600605
2014-04-03,155.929934844,155.958161625,155.21483821,4452600,155.572379
2014-04-04,156.202796817,156.249845842,153.916357962,10559700,154.198638
2014-04-07,153.916357263,154.245672211,152.54260157,8624100,152.580247
2014-04-08,152.523794232,153.116566975,152.006283182,5930000,152.740203
2014-04-09,153.370619901,154.443272375,152.834286607,6008300,154.405642
2014-04-10,154.424450082,154.603228474,151.742825013,9981500,151.931007
2014-04-11,151.178264986,151.789874086,150.434941574,11067500,150.56667
2014-04-14,151.564047806,152.072140207,150.801901208,6270600,151.912185
2014-04-15,152.119188586,152.871930645,150.905403153,8489000,152.768429
2014-04-16,153.775210462,154.339770536,153.304748438,5864200,154.330366
2014-04-17,154.068580472,154.61475693,153.804910475,5790700,154.200415
2014-04-21,154.285161611,154.671254964,154.153327084,3066100,154.464084
2014-04-22,154.718343038,155.660024962,154.652418711,4044300,155.189184
2014-04-23,155.321018402,155.368105323,154.859589551,3546100,155.038511
2014-04-24,155.386929624,155.481103467,154.614757038,4028700,155.085598
2014-04-25,154.511172038,154.61475705,153.494153676,5102700,153.823748
2014-04-28,154.558258315,155.085597365,153.286982072,7236900,154.595919
2014-04-29,155.019673162,155.631774885,154.897263929,4581400,155.377517
2014-04-30,155.302180524,155.942531763,155.217432917,4958500,155.801271
2014-05-01,155.660024326,156.04611768,155.283343083,3889400,155.5941
2014-05-02,155.528190356,156.177952767,154.934926035,7036100,155.142097
2014-05-05,154.407584893,155.537600369,153.917906529,4059700,155.311592
2014-05-06,155.057348719,155.076171999,154.134490079,5281500,154.181577
2014-05-07,154.916087636,155.452852921,153.861407654,5576200,155.405766
2014-05-08,155.396354083,156.385122924,155.245682151,5997900,155.707111
2014-05-09,155.65059824,156.112028032,155.255093716,4228600,156.055529
2014-05-12,156.611118151,157.194956233,156.582868635,3944700,157.072547
2014-05-13,157.355054921,157.533962245,157.213794158,4133400,157.307968
2014-05-14,157.345628575,157.392715496,156.24386261,3104700,156.422785
2014-05-15,156.112027997,156.196775603,154.454672523,7539300,154.953763
2014-05-16,154.98302303,155.436185032,154.614825067,5115000,155.407864
2014-05-19,154.964135965,155.691095635,154.860285258,2879900,155.502279
2014-05-20,155.492829895,155.511715618,153.925624526,4856600,154.189985
2014-05-21,154.784755686,155.917669659,154.728111734,4898700,155.757175
2014-05-22,155.861026072,156.144258106,155.398427816,3564100,155.945992
2014-05-23,156.049842939,156.597421285,155.955441702,2857000,156.559664
2014-05-27,157.144999277,157.286622375,156.842895681,2561300,157.163885
2014-05-28,157.229964972,157.239415387,156.672951316,3681500,156.805124
2014-05-29,157.163884714,157.465988309,156.748479997,2763500,157.456553
2014-05-30,157.286622152,157.683141145,157.003390118,2769000,157.598162
2014-06-02,157.900279699,158.041888635,157.31494407,4453300,157.853072
2014-06-03,157.607612324,157.853072913,157.428231941,4125200,157.683142
2014-06-04,157.560403974,157.919165683,157.267736631,2264600,157.786993
2014-06-05,158.145740899,158.901021604,157.5887263,5416500,158.740526
2014-06-06,159.15593133,159.665737285,159.04264437,4118900,159.62798
2014-06-09,159.665737878,160.100029264,159.571336641,2713200,159.779039
2014-06-10,159.694059203,159.901761562,159.401390916,2821400,159.88289
2014-06-11,159.316426272,159.373070224,158.69331825,3064100,158.938793
2014-06-12,158.882135344,158.929343043,157.645370656,5409200,157.938038
2014-06-13,158.174062324,158.447859051,157.786993743,2708700,158.249592
2014-06-16,158.032452965,158.580031311,157.805864883,3068300,158.315685
2014-06-17,158.070210908,158.797169636,157.890843743,2884700,158.608353
2014-06-18,158.655560782,159.609094375,157.994695476,4729200,159.486357
2014-06-19,159.571336739,159.731831399,159.118159629,3028000,159.637416
2014-06-20,160.097139689,160.257944377,159.822829202,5370700,159.936335
2014-06-23,159.917412483,159.974164909,159.463374158,2729200,159.77553
2014-06-24,159.699854841,160.172815372,158.602582625,4861700,158.791764
2014-06-25,158.460699724,159.368776374,158.451232,3657500,159.179595
2014-06-26,159.274193156,159.283646691,158.025570733,4052400,158.990414
2014-06-27,158.687713525,159.151219577,158.290427622,3092200,159.075544
2014-06-30,158.829610151,159.245817312,158.583661214,6488400,158.810687
2014-07-01,159.189049049,160.46604816,159.132296623,4911500,160.049841
2014-07-02,160.153892888,160.343074263,160.030918421,1929800,160.239022
2014-07-03,160.664698669,161.251165,160.551178682,2074800,161.251165
2014-07-07,160.693074205,160.816034483,160.380918364,2937700,160.674152
