Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2015-07-10,16.8355949839,16.8554248955,16.4885705387,31843300,16.607551
2015-07-13,16.3894231724,16.6670399559,16.2605277536,17813200,16.657125
2015-07-14,16.637296601,16.7959358917,16.5381460528,16502400,16.548062
2015-07-15,16.3894240252,16.438997816,16.1316341656,47109000,16.171293
2015-07-16,16.14154942,16.14154942,15.9630792198,20774600,16.012654
2015-07-17,15.9135032303,15.9135032303,15.2392872205,67369900,15.288862
2015-07-20,14.5749859012,14.6443905959,13.6330650436,169146000,13.64298
2015-07-21,13.9404282635,14.4064311997,13.9007684391,90063100,13.999918
2015-07-22,13.7024691449,14.1585571193,13.5537448054,39924800,13.960258
2015-07-23,14.1188972687,14.1783870044,13.3951054846,69592000,13.50417
2015-07-24,13.2959559503,14.0098327798,13.0579970071,141204200,13.960258
2015-07-27,13.7817885409,14.2577064186,13.3257005748,76274700,13.454595
2015-07-28,13.6132338218,13.7222983316,13.4248496684,39223000,13.573574
2015-07-29,13.5735752226,13.9503435634,13.4248508776,56984100,13.851194
2015-07-30,13.5438301233,13.7123843782,13.286041263,73229900,13.345531
2015-07-31,13.7222996073,13.85119404,13.4645107418,41361100,13.633065
2015-08-03,13.5240003828,13.563660208,13.0679123934,61550200,13.157147
2015-08-04,13.3554462144,13.424850909,13.0679124801,69613800,13.176977
2015-08-05,13.305871563,13.4248510405,12.8993583484,41758700,12.978678
2015-08-06,13.0976567061,13.5735745879,12.9985071473,69121200,13.256296
2015-08-07,13.3058709119,13.7322140187,13.2166363082,50618200,13.286041
2015-08-10,13.4545951742,14.168472,13.2463811001,91376800,14.168472
2015-08-11,14.3171973471,14.4064319566,13.8214495165,55172900,14.396517
2015-08-12,14.6840501108,15.3979269562,14.6543052423,123217200,15.388012
2015-08-13,14.9220092077,15.0806485082,14.4163464372,101956100,14.515496
2015-08-14,14.7931141008,14.8625187916,14.2378765742,33094300,14.366771
2015-08-17,14.6741350532,14.9814986928,14.6245602726,66966000,14.912094
2015-08-18,14.61464613,14.79311535,14.3866021266,52911000,14.644391
2015-08-19,14.7732843224,15.1500526474,14.7534544105,65822400,15.070733
2015-08-20,15.5565655752,15.9135029908,15.4375861062,86900000,15.68546
2015-08-21,16.0027387434,16.0225696478,15.110393653,84174900,15.259118
2015-08-24,15.0310734805,15.477246506,13.9503432633,131865300,14.009833
2015-08-25,14.3965162692,14.4064312253,13.464510395,72336000,13.553745
2015-08-26,13.3653610767,13.375276033,12.8497833497,97910100,12.929103
2015-08-27,12.9885920522,13.7917034692,12.8993574503,111023300,13.672724
2015-08-28,13.6429791663,14.2874512926,13.6330642105,94381300,14.128812
2015-08-31,13.821448747,13.990003,13.4744252849,57079800,13.990003
2015-09-01,14.0891526298,14.2477919276,13.553745,56978800,13.553745
2015-09-02,13.6429794277,13.7817888114,13.2166363206,38700500,13.514085
2015-09-03,13.2761259559,13.9106831338,13.2463810882,49765400,13.266211
2015-09-04,13.1670624765,13.3157868267,12.9489334294,45569700,13.276127
2015-09-08,13.4149360871,13.6231501727,13.2265519144,36832900,13.434766
2015-09-09,13.246380984,13.4050202772,12.9885921325,54365200,13.018337
2015-09-10,13.2364659832,13.3058706738,12.9687621768,33086600,13.008422
2015-09-11,12.889442922,13.1670616927,12.5126745905,63781500,13.097657
2015-09-14,12.9489320444,13.2265508018,12.80020771,37077400,12.958847
2015-09-15,12.9390172654,13.2067210709,12.8795275309,26398000,12.998507
2015-09-16,13.2662112397,13.8115338243,13.2562962837,81356400,13.771874
2015-09-17,13.6033203896,14.3171972614,13.5438306503,79245400,14.148643
2015-09-18,14.4758354696,14.5848999834,14.059407326,53111900,14.356856
2015-09-21,14.1486428236,14.2378774314,13.8710240436,58502000,13.880939
2015-09-22,13.553744631,13.5934044543,13.1968062208,73786500,13.246381
2015-09-23,13.5240003379,13.5735751192,13.1174871312,37996400,13.147232
2015-09-24,13.504170616,14.1585577384,13.4446808776,102655900,14.099068
2015-09-25,13.8412780887,13.9900024235,13.7619584435,34885700,13.861108
2015-09-28,13.5041696712,13.6033192282,13.1769761329,67205900,13.206721
2015-09-29,13.355445736,13.5636598121,13.186891484,34734800,13.295956
2015-09-30,13.1075713086,13.623149,13.0778264418,41340700,13.623149
2015-10-01,13.6727243281,13.8710234482,13.236466264,54110100,13.295956
2015-10-02,13.8313633851,14.3766859558,13.7619586943,98242100,14.366771
2015-10-05,14.4758353042,15.0509027341,14.4560053929,102197900,14.991413
2015-10-06,15.3880117041,15.635885604,15.1004779802,92653200,15.546651
2015-10-07,15.5664806022,15.6953750275,15.2392870609,53677000,15.477246
2015-10-08,15.2293722206,16.0126537346,15.1897123971,62811000,15.278947
2015-10-09,15.8341852663,16.1316339563,15.7152057903,86931800,16.121719
2015-10-12,16.4687423096,16.4687423096,15.4871607098,73832600,15.6458
2015-10-13,15.6557153529,16.0027378176,15.5466508381,48817600,15.735035
2015-10-14,16.101887929,16.8455096006,16.0324832396,126780700,16.756275
2015-10-15,16.4687432099,16.8950863257,16.339847788,46677600,16.74636
2015-10-16,16.6967860144,16.8455103554,16.2307840709,65976600,16.250612
2015-10-19,16.1812082752,16.2902727917,15.4772463955,111747800,15.566481
2015-10-20,15.7647798959,16.3795071623,15.75486494,88202900,16.191123
2015-10-21,15.9630799117,16.0324846069,15.5962265224,63704100,15.715206
2015-10-22,15.6755453737,16.1316333479,15.6458005058,48065200,15.98291
2015-10-23,16.2010387845,16.5183173898,15.7945255714,65417200,16.379508
2015-10-26,16.339847945,16.339847945,15.8639300437,58216300,15.873845
2015-10-27,15.7846095396,16.0721422646,15.655715115,25161300,15.90359
2015-10-28,16.270443742,16.6670410135,15.4673322593,76262400,15.754866
2015-10-29,15.5069906958,15.6458000754,14.9120933545,87347200,14.991413
2015-10-30,14.9418385147,15.2591171029,14.8228590441,42003200,14.832774
2015-11-02,14.6741359521,15.0509043076,14.5055816877,40933400,14.892265
2015-11-03,14.6344747952,14.981498249,14.5849000161,27659100,14.812944
2015-11-04,14.9220091176,15.0905633735,14.4758360876,47752800,14.495666
2015-11-05,14.5055805781,14.5055805781,13.8908533082,89901000,13.960258
2015-11-06,13.524000211,13.6033198603,13.2959562192,73796300,13.345531
2015-11-09,13.345530632,13.7222989559,13.1968062936,76441900,13.712384
2015-11-10,13.454595562,13.603319905,13.305871219,54219000,13.355446
2015-11-11,13.4248504835,13.543829956,13.3257009231,29725700,13.533915
2015-11-12,13.2166366132,13.6727245984,13.1769767884,41792900,13.355446
2015-11-13,13.325700793,13.5636597357,13.2860409692,31486300,13.50417
2015-11-16,13.623149,13.7421284672,13.5140844884,24226200,13.623149
2015-11-17,13.5041696055,13.5438294281,12.939017133,70962600,12.968762
2015-11-18,13.038167487,13.4645106064,12.810123493,69238200,13.375276
2015-11-19,13.5735752226,13.940428607,13.5537453099,57813000,13.851194
2015-11-20,13.9106832261,13.95034305,13.2265512642,67610000,13.286041
2015-11-23,13.2364659115,13.3653603361,13.1373163541,26679900,13.216636
2015-11-24,13.4843400578,13.7619588237,13.3752755426,59251900,13.722299
2015-11-25,13.5339152626,13.8313639497,13.4446806565,35075100,13.593405
2015-11-27,13.2959561755,13.4744253859,13.2562963509,38458000,13.335616
2015-11-30,13.4347659157,13.6826398256,13.4050210465,43282800,13.64298
2015-12-01,13.7322143573,14.0792378249,13.5735750579,55243200,14.039578
2015-12-02,13.7024688673,13.9007679826,13.504169752,59197500,13.672724
2015-12-03,13.9106832202,14.0891524276,13.7421289687,51983700,13.960258
2015-12-04,14.1089826298,14.7336248685,14.1089826298,76943200,14.70388
2015-12-07,14.4956651366,14.5353249592,13.9404276211,69177200,14.079237
2015-12-08,14.1089823395,14.1883019872,13.8214486165,58937700,13.960258
2015-12-09,14.2973673483,14.4064318704,13.9701737821,50909900,14.148643
2015-12-10,14.0296632618,14.3370269092,14.009833349,32698200,14.089153
2015-12-11,13.9305134458,14.4064313428,13.9106835334,47148500,14.257707
2015-12-14,14.1585578673,14.1982176932,13.444681,88301100,13.444681
2015-12-15,13.6033196038,13.7024691636,13.3951055282,37161500,13.514085
2015-12-16,13.8115340501,14.1188976937,13.5537451877,82756600,14.049493
2015-12-17,13.5636605217,13.5636605217,13.1868921739,92531900,13.226552
2015-12-18,13.4347653959,13.7123841642,13.3653607038,62472400,13.524
2015-12-21,13.81,13.9,13.65,70487000,13.76
2015-12-22,13.73,13.92,13.63,33462900,13.68
2015-12-23,13.77,13.98,13.74,42889100,13.97
2015-12-24,14.08,14.29,14.06,24429100,14.27
2015-12-28,14.03,14.04,13.67,49718100,13.79
2015-12-29,13.97,14.05,13.79,28853300,13.95
2015-12-30,13.65,13.74,13.57,40319300,13.66
2015-12-31,13.66,13.75,13.6,27523300,13.72
2016-01-04,14.12,14.24,13.87,53710100,14.09
2016-01-05,14.13,14.15,13.91,29913400,14.02
2016-01-06,14.22,14.35,14.15,39864700,14.25
2016-01-07,14.5,15.01,14.38,78644600,14.88
2016-01-08,14.5,14.64,14.26,66017900,14.52
2016-01-11,14.57,14.61,13.82,69796900,13.92
2016-01-12,13.8,13.8,13.37,66902500,13.61
2016-01-13,13.54,13.8,13.36,39568100,13.61
2016-01-14,13.46,13.59,13.0,56311100,13.13
2016-01-15,13.6,13.61,13.07,35653200,13.09
2016-01-19,13.21,13.24,12.4,76883400,12.47
2016-01-20,12.78,12.92,12.52,64908600,12.85
2016-01-21,12.7,12.98,12.45,32173600,12.91
2016-01-22,12.73,13.17,12.69,32747300,13.03
2016-01-25,13.26,13.4,13.16,51095400,13.38
2016-01-26,13.53,14.0,13.52,76144500,13.97
2016-01-27,13.87,14.21,13.71,60024700,14.2
