Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,150.964971295,153.147338057,150.335986493,1885200,150.478931
2013-08-27,148.401394499,149.173323808,145.742512691,3672000,146.028416
2013-08-28,146.286571685,147.38610554,144.804580672,2343200,146.257889
2013-08-29,145.684210495,147.89284898,145.416497464,2133000,146.888933
2013-08-30,147.022789114,147.223566956,144.689851024,2234000,145.454751
2013-09-03,147.70162697,149.193173454,146.783758094,2464800,147.96934
2013-09-04,147.969341477,150.350088518,147.577342225,2194200,148.90635
2013-09-05,149.145379843,151.114987987,148.743810773,2443900,149.317475
2013-09-06,150.091931194,150.789910323,146.688140976,2464000,149.78598
2013-09-09,150.503071556,152.692582843,150.264041209,2150400,152.491805
2013-09-10,155.828659934,158.266772341,155.427090864,5265900,157.893885
2013-09-11,157.69309244,158.515356826,156.59355859,2233100,157.817393
2013-09-12,157.607045303,158.056424266,155.914720968,2690000,156.182434
2013-09-13,157.167237907,157.492315353,155.809547453,2231500,156.803907
2013-09-16,159.012545647,161.173388582,157.94169352,3553100,159.700954
2013-09-17,159.853936905,160.226824247,158.391073092,2653700,160.073841
2013-09-18,159.194210552,161.670561114,158.371945205,3422400,160.685758
2013-09-19,162.244239713,162.540635431,159.55754149,3534700,160.418045
2013-09-20,160.628392577,162.301605,156.832589725,20410100,162.301605
2013-09-23,160.800487967,161.068215341,157.492315622,4816200,157.999059
2013-09-24,158.257215399,159.098592656,155.819103,3422600,155.819103
2013-09-25,156.096372447,156.507511335,154.088526145,3614600,155.18806
2013-09-26,155.752168001,156.736972073,153.973781268,2711400,155.168933
2013-09-27,153.639147138,153.887733918,152.434425589,3679100,152.836009
2013-09-30,150.799465785,152.157156239,149.699931929,2803600,151.267971
2013-10-01,151.889443962,153.2758171,150.646483295,2465300,152.0233
2013-10-02,150.770782869,152.577852283,150.608244146,2431000,151.707778
2013-10-03,151.669540109,152.176283487,148.638637231,2949500,149.967645
2013-10-04,150.187549379,150.350088103,149.240983469,2984500,149.680806
2013-10-07,148.361353764,149.346157837,147.453041315,2618000,147.481724
2013-10-08,147.835483927,149.011523749,146.286572062,2917200,146.334381
2013-10-09,146.821998355,148.504780602,146.124033566,3227500,147.663389
2013-10-10,149.948518461,151.296652479,149.1549358,3639000,151.076735
2013-10-11,151.535683485,153.44792626,150.608244783,3124900,152.979422
2013-10-14,151.277525752,152.90292923,150.589117402,2428100,152.463122
2013-10-15,152.797756931,153.017660069,150.598674872,3038000,150.713419
2013-10-16,151.621731423,155.369725347,150.589118413,3649300,155.130695
2013-10-17,149.613871127,152.214522261,149.145380251,7522100,151.373145
2013-10-18,151.870317471,152.692582821,149.805092405,4982100,151.726905
2013-10-21,151.707778736,153.60089526,151.306209666,2695400,152.759518
2013-10-22,153.591338773,153.658274919,151.28708336,3239400,152.262331
2013-10-23,151.086306033,151.143671405,149.690363066,2735800,150.818593
2013-10-24,152.453551534,153.314069383,151.860761057,2591000,152.941183
2013-10-25,152.979422123,155.121138813,152.893375023,3721000,154.977712
2013-10-28,154.891664631,155.073329607,153.218452204,3341500,154.365795
2013-10-29,154.958598881,155.952959381,153.945098744,3702100,154.996838
2013-10-30,155.427090125,155.81910276,154.07895515,2344200,154.939473
2013-10-31,154.977711523,156.18243403,153.801687,2785000,153.801687
2013-11-01,153.964225365,155.465342629,153.667829648,2738400,154.939473
2013-11-04,155.293233438,156.077259667,154.499650777,1711000,156.000769
2013-11-05,154.576141969,155.494025189,153.725194895,2529400,154.843855
2013-11-06,155.398408046,157.090746726,155.207186637,3593700,156.344973
2013-11-07,156.842145359,157.00469938,152.606535271,3490300,152.635217
2013-11-08,153.352308497,156.507511946,152.864692326,3856000,156.010325
2013-11-11,155.369725168,157.520998285,155.044647721,2289000,156.650924
2013-11-12,155.943404184,157.167238605,155.015965482,2239600,155.742612
2013-11-13,154.681317321,156.52663925,154.126765003,3398300,155.790421
2013-11-14,156.373655221,156.756098038,155.283677799,3648200,156.039007
2013-11-15,156.019880954,158.161597637,156.019880954,2667200,157.18635
2013-11-18,157.511441374,160.29374408,156.995128178,3555000,158.410184
2013-11-19,158.591849869,160.628393207,158.362390297,2691900,159.289829
2013-11-20,159.442797862,159.911302123,157.626172962,2793100,157.760029
2013-11-21,157.999059381,159.978237347,157.769585467,3158500,159.739207
2013-11-22,159.452367642,160.857867038,158.266772341,2680500,160.724011
2013-11-25,161.10645287,163.018695634,161.10645287,3101700,162.043448
2013-11-26,161.928718878,163.200361278,160.628392837,2953400,160.666631
2013-11-27,161.203824538,161.932858149,160.071888809,2285300,161.366897
2013-11-29,161.050339005,163.438904809,160.858489671,2018700,162.057566
2013-12-02,162.959273607,164.59001453,161.808148824,3121100,162.805788
2013-12-03,162.201448788,163.803413798,161.069528411,3288200,161.203824
2013-12-04,160.493966085,163.007225267,160.493966085,2328200,161.827338
2013-12-05,160.589897715,161.117494175,158.613821852,3564100,158.815259
2013-12-06,160.752969795,161.117493792,158.057448144,2708500,160.398048
2013-12-09,161.155858068,162.239827862,160.043111402,2589500,160.8393
2013-12-10,161.031149468,165.184751779,160.69541673,4235400,162.815376
2013-12-11,162.604337068,162.911307321,160.321305344,2977100,160.772159
2013-12-12,159.803296002,162.076755264,159.736155402,2911900,161.472416
2013-12-13,161.721818334,162.393298199,160.772159477,2490600,161.529969
2013-12-16,162.412487824,164.503683645,162.201448473,2980000,163.985675
2013-12-17,164.292645668,164.292645668,162.796201291,2856700,163.544423
2013-12-18,164.033641364,167.793942803,163.064792489,4509600,167.7172
2013-12-19,167.496575352,168.638097937,166.911425144,3094400,167.65006
2013-12-20,167.54454047,168.628494916,166.671609069,3754300,168.024171
2013-12-23,168.714839812,169.491838392,168.350315814,1585300,169.2808
2013-12-24,169.472649385,169.482237199,168.292762119,781300,168.983432
2013-12-26,169.405508792,169.55898001,168.043345618,1320100,169.261611
2013-12-27,169.204057728,169.261611473,168.417471331,1716900,169.165694
2013-12-30,169.309576852,169.904313912,168.120088343,1241000,168.570942
2013-12-31,169.040984257,170.211283705,169.040984257,1663900,170.03861
2014-01-02,169.741241745,171.112992735,169.175281557,1982100,169.683688
2014-01-03,169.165693604,171.563846253,169.04098487,2147400,170.892352
2014-01-06,171.851613607,173.750961063,171.592623672,2954000,172.062652
2014-01-07,173.367247869,173.607063134,170.288027534,2734700,171.026648
2014-01-08,171.228099745,171.611798415,170.038611231,2208600,171.170546
2014-01-09,171.784472252,171.784472252,169.415096479,2149500,170.172906
2014-01-10,170.172906752,171.429551214,169.789208082,2506500,171.12258
2014-01-13,171.036249846,171.036249846,168.532577521,2823800,168.71484
2014-01-14,169.079349688,170.268838199,168.551767616,2208800,169.405509
2014-01-15,169.78920715,172.417587243,169.78920715,3540200,171.467914
2014-01-16,171.467914514,171.506278242,167.391055008,4712200,168.033758
2014-01-17,167.880272622,170.057799056,167.39105428,3451000,169.098538
2014-01-21,167.96661765,168.436645978,164.359786466,5141200,166.144013
2014-01-22,166.383827793,167.525350372,165.741124803,2476900,166.604454
2014-01-23,165.395790052,165.395790052,162.134308203,3977700,163.793826
2014-01-24,161.664265343,163.036016331,160.407635274,4156200,160.810523
2014-01-27,160.273339935,160.772159524,156.77202843,5589600,157.980706
2014-01-28,158.306851549,159.764932195,157.884773806,3170400,159.477151
