Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,167.827627868,169.394752165,167.293163872,2170400,167.347526
2013-08-27,166.342027316,167.130116016,165.381823583,3190700,165.535817
2013-08-28,165.481454263,166.197086394,164.050216271,3979200,165.01042
2013-08-29,164.829252332,166.405429732,164.358203574,2980900,165.445226
2013-08-30,165.544870433,165.76227999,164.421606591,2731000,165.110064
2013-09-03,166.342026275,166.967067541,165.327460421,3487200,166.64096
2013-09-04,166.296731711,166.849302826,165.146293144,2597900,165.8891
2013-09-05,166.088388443,167.583042577,165.834750149,2867600,166.813061
2013-09-06,167.265988414,167.573988835,165.454279842,2903500,165.798509
2013-09-09,166.387308712,168.026915838,166.052147156,3017200,167.564922
2013-09-10,169.575919418,169.983551129,168.82405855,3149600,169.032415
2013-09-11,169.240757455,172.900402416,169.231703442,4962900,172.746409
2013-09-12,172.98194045,173.308047992,171.976441288,3354800,172.773584
2013-09-13,173.20840404,174.920467731,173.018168299,3710400,174.078016
2013-09-16,175.463972575,176.469471739,174.476595026,3902400,174.96575
2013-09-17,175.210333964,175.871603968,173.770029274,2930900,174.068963
2013-09-18,174.467540451,176.541940419,173.924022445,3841800,176.116188
2013-09-19,175.898779453,176.541941433,175.029166583,3178100,175.18316
2013-09-20,175.699503603,176.125242436,172.130435,8525900,172.130435
2013-09-23,172.166664171,174.295427183,171.505394164,3340800,173.009115
2013-09-24,172.95475287,173.5254456,171.804327888,3085300,172.08514
2013-09-25,172.239132558,172.673938991,170.753532439,2654500,171.632212
2013-09-26,172.202905015,173.706613164,171.623159179,2093600,172.311603
2013-09-27,171.088694137,171.152110278,168.896528581,3905500,169.322281
2013-09-30,168.090319157,169.159233554,166.985175119,3978200,167.74609
2013-10-01,167.891029392,169.077696692,167.265988124,2681200,168.833126
2013-10-02,168.072197804,168.769710133,167.048592425,3617100,167.546815
2013-10-03,167.311282973,167.546814144,165.771333413,3211800,166.550369
2013-10-04,166.831181553,167.700808006,166.296731149,2863600,166.767779
2013-10-07,164.72960628,166.052146282,164.72960628,3966400,164.874533
2013-10-08,164.765835277,164.85642614,161.885225892,5578300,161.894279
2013-10-09,162.483079266,164.566546848,162.238508573,4423500,164.249506
2013-10-10,165.925327708,167.3747,165.191588454,3658900,167.3747
2013-10-11,167.809505979,168.697239553,166.785886109,3232600,168.633837
2013-10-14,167.954447029,169.385697709,167.05764585,2663100,169.367577
2013-10-15,168.253379534,168.434547674,166.876477397,3365100,167.275056
2013-10-16,167.963499698,169.150167,167.573988697,6718000,169.150167
2013-10-17,157.473704825,160.336207981,156.323279851,22368900,158.370506
2013-10-18,158.343331996,158.524500135,156.939255134,10548000,157.419357
2013-10-21,157.999101962,158.298035686,156.377629139,7098700,156.585972
2013-10-22,157.029845589,159.040843006,156.667495723,6977300,158.497325
2013-10-23,158.606023837,159.421300849,157.980982566,5409400,159.222012
2013-10-24,159.819865568,161.142418262,159.656818137,5533300,161.060895
2013-10-25,161.631573997,162.238508145,159.665872007,4842800,160.200336
2013-10-28,160.372436395,161.142417973,159.611522419,3712700,160.653263
2013-10-29,160.897833714,165.155359727,160.789135729,8904600,164.974178
2013-10-30,164.584666846,165.028527293,162.926952598,5273700,163.189644
2013-10-31,162.736716107,164.566545378,162.18414409,4318100,162.338152
2013-11-01,162.881657297,163.361758257,162.039219153,3644500,162.35626
2013-11-04,162.963180855,163.778457866,162.455904266,3483300,163.298356
2013-11-05,162.637071965,162.872603138,160.979371306,6096800,161.10619
