Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,20.215059542,20.3233545038,20.0616416794,22267800,20.09774
2013-08-27,19.9623719398,20.0526159352,19.8540760769,37638500,20.025544
2013-08-28,20.0345687789,20.224084059,19.9713949131,28090000,20.11579
2013-08-29,20.0706663459,20.2421333695,19.8991984198,28303500,19.908223
2013-08-30,20.0706660819,20.079690662,19.7638303594,33896300,19.836027
2013-09-03,20.0435912172,20.0706658595,19.8270012978,26427300,19.917248
2013-09-04,20.197009911,20.5579949298,20.1067659125,37941800,20.431649
2013-09-05,20.4677476407,20.5128705412,20.296280619,22552800,20.395551
2013-09-06,20.4767730626,20.5940917009,20.2150593383,27606600,20.458723
2013-09-09,20.5038450757,20.7836088636,20.4857977204,27770600,20.675313
2013-09-10,20.8197062206,20.8738527986,20.6933620997,31705400,20.738485
2013-09-11,20.6753137065,20.7384857693,20.494821196,45815300,20.585067
2013-09-12,20.5579945073,20.6121410858,20.395551162,29517900,20.422624
2013-09-13,20.8016555821,21.1716633547,20.7926328072,61134800,21.153616
2013-09-16,21.3250819229,21.3972785639,21.072394582,30088500,21.108492
2013-09-17,21.3792310023,21.559720798,21.3611809398,37540700,21.424353
2013-09-18,21.5236231004,21.5867951598,21.2619093804,31975400,21.568746
2013-09-19,21.622892998,21.7402134417,21.5145989394,28261400,21.577771
2013-09-20,21.6048457649,21.6228931203,21.2709353971,47069000,21.451427
2013-09-23,21.3882556405,21.5236234389,21.3070344199,22437100,21.316059
2013-09-24,21.279960135,21.5236238007,21.279960135,24410100,21.388256
2013-09-25,21.4604526417,21.4875245774,21.279960135,19879900,21.388256
2013-09-26,21.4333777232,21.4784997212,20.9370267205,32003300,21.126542
2013-09-27,20.9460494391,21.1084918804,20.6482382968,28924100,20.738485
2013-09-30,20.503845492,20.909952507,20.3955514311,32489600,20.684338
2013-10-01,20.7023872818,20.7926330812,20.4857973633,25888800,20.603116
2013-10-02,20.4948205578,20.6662884826,20.4587231397,23205400,20.657263
2013-10-03,20.5940917619,20.6121409221,20.3053051991,34888500,20.395551
2013-10-04,20.395551714,20.6211662241,20.395551714,22550000,20.585067
2013-10-07,20.4948201383,20.756533859,20.3684769216,21321300,20.603116
2013-10-08,20.6392155252,20.6482383004,20.287256,36111200,20.287256
2013-10-09,20.3143303572,20.7204355703,20.2872566162,40435400,20.386527
2013-10-10,20.747509619,20.9550740586,20.6843375584,39189400,20.84678
2013-10-11,20.603117043,20.991174,20.5940924626,24550600,20.991174
2013-10-14,20.8377552176,21.1987384175,20.78360864,27176700,21.162641
2013-10-15,21.1175174826,21.2889845049,21.0453208416,42957700,21.108492
2013-10-16,20.9911735683,21.4243534184,20.955074345,47723400,21.388256
2013-10-17,21.2799602709,21.604846063,21.1987390485,28694900,21.586796
2013-10-18,21.5326496442,21.6409437061,21.3702062952,29579100,21.550697
2013-10-21,21.6048461984,21.8124106434,21.4965503321,35297600,21.785336
2013-10-22,21.8124097998,21.8394844421,21.6680165201,29010800,21.722164
2013-10-23,21.5958200206,21.7041140786,21.2619096569,31651100,21.424353
2013-10-24,21.5326486395,21.6319172139,21.460452,47590200,21.460452
2013-10-25,21.758263362,21.875582,21.6770412393,59634700,21.875582
2013-10-28,21.8214346559,22.1011966387,21.8124100758,65581600,21.983878
2013-10-29,22.0199760359,22.2636397051,21.9748531342,29961700,22.128271
2013-10-30,22.1372956425,22.27266344,22.0199752,24091800,22.110221
2013-10-31,22.1282708038,22.3177869893,22.0470495814,30901400,22.083147
2013-11-01,22.119245439,22.2455895582,21.8575317182,28302100,21.956803
2013-11-04,21.9477794823,22.0199761253,21.7943616158,26639800,21.893632
2013-11-05,21.788877402,21.9619504997,21.6522414652,22849900,21.889078
2013-11-06,21.9164038982,22.1441304652,21.7615498326,25525700,22.089477
2013-11-07,22.1987867662,22.2078940071,21.8617505346,25631100,21.916404
2013-11-08,21.8890785348,21.971060099,21.716005433,31502900,21.943732
2013-11-11,21.8981870987,22.1259136606,21.7979865006,19236500,22.016604
2013-11-12,21.8526412444,22.3172034384,21.8435321817,37813500,22.25344
2013-11-13,22.0894768089,22.4265130361,22.0439324068,22990300,22.408294
2013-11-14,22.2534401617,22.3172036005,22.1805676601,20198900,22.217003
2013-11-15,22.2261132463,22.3627482775,22.0894773042,22866500,22.335422
2013-11-18,22.4174039735,22.4993855369,22.2989852488,24712500,22.408294
2013-11-19,22.5358203386,22.6542390605,22.4174034385,24870200,22.499385
2013-11-20,22.4993856992,22.6086935403,22.2807663733,20288600,22.371857
2013-11-21,22.4174030528,23.0368192843,22.3354205818,44050600,22.982164
2013-11-22,22.317203024,22.3263120865,21.7160049017,77908100,21.743333
2013-11-25,21.8799686939,21.8799686939,21.4062974316,43389300,21.634024
2013-11-26,21.670460787,21.716005189,21.4245151865,30600800,21.542933
2013-11-27,21.5338224682,21.7888771247,21.424514631,28419200,21.770659
2013-11-29,21.770659375,21.8526409375,21.6431325,13802900,21.716005
2013-12-02,21.8617499636,21.8617499636,21.5429327767,25685300,21.588479
2013-12-03,21.5793707011,21.6158060414,21.3152069688,35066400,21.451842
2013-12-04,21.4245146285,21.7251136858,21.4245146285,43501500,21.624914
2013-12-05,21.6977872432,22.1805675639,21.6340238046,45399100,22.098586
2013-12-06,22.7453280258,23.0003826853,22.5449295629,53871400,22.608693
2013-12-09,22.6269114368,22.8455289386,22.4811664356,29614700,22.708893
2013-12-10,22.6724555262,22.7453280258,22.4629480008,18203700,22.608693
2013-12-11,22.5358210049,22.6633469712,22.2261128747,24682400,22.244331
2013-12-12,22.5176015622,22.6724556245,22.2443305985,21917800,22.289875
2013-12-13,22.0530396773,22.3080943414,22.0074952751,20631200,22.125914
2013-12-16,22.1623493377,22.5084928061,22.1623493377,25061100,22.271659
2013-12-17,22.2443305012,22.5631476869,22.2078933405,28158500,22.462948
2013-12-18,22.5084923424,22.954838223,22.3445310405,42680500,22.909292
2013-12-19,22.8819666962,22.991274539,22.6724564297,31880600,22.900183
2013-12-20,22.8728571349,23.0914737267,22.8090936966,55380100,22.82731
2013-12-23,23.018600688,23.1643456864,22.9366191264,28120800,23.064146
2013-12-24,23.1187997765,23.3374190989,23.0914734998,12157900,23.164346
2013-12-26,23.1643454072,23.410291,23.1643454072,16957000,23.410291
2013-12-27,23.4558359375,23.5013803391,23.20989125,12970600,23.3192
2013-12-30,23.382963872,23.546927,23.3192004333,19787200,23.546927
2013-12-31,23.5104900587,23.7200003238,23.4740547186,22808100,23.647126
2014-01-02,23.4831639375,23.5195992765,23.2007811794,31833300,23.492273
2014-01-03,23.5560364999,23.5924718389,23.3191999643,27796700,23.483164
2014-01-06,23.4740538458,23.4922728815,23.1825647594,28682300,23.191672
