Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2015-07-10,121.5783013,122.06916978,121.107072467,28735800,121.863006
2015-07-13,122.491316951,123.345430065,122.471685157,21349900,123.237439
2015-07-14,123.16871861,124.189726035,123.109817338,21009500,123.92466
2015-07-15,124.003192716,124.170092907,122.982185302,22238300,123.26689
2015-07-16,123.806848554,124.425339891,123.66940538,33568400,124.003193
2015-07-17,124.003193401,124.071914006,123.070546234,24739900,123.463242
2015-07-20,123.482873927,123.561414848,122.481505173,23271100,122.795661
2015-07-21,122.785841399,123.502512324,121.843374901,28118700,122.216432
2015-07-22,121.813923755,122.805472192,121.617571455,20654200,122.66803
2015-07-23,122.707300518,123.099996283,121.048169966,39712100,121.313236
2015-07-24,121.224882197,121.45067777,119.271220747,39533000,119.359581
2015-07-27,118.917794751,119.104327718,118.073500967,35627200,118.368025
2015-07-28,118.711631864,119.585377763,117.160485495,53474800,119.379213
2015-07-29,119.143598581,120.095884415,118.760721166,32411300,119.713007
2015-07-30,119.408662684,120.203874525,118.799990682,29383900,120.056613
2015-07-31,120.213687189,121.411407256,119.987891617,31812700,120.714375
2015-08-03,120.783097114,120.910727827,119.241770088,34033200,120.115515
2015-08-04,120.154785178,120.714375243,119.389032315,21728900,119.830811
2015-08-05,120.35113024,121.27396593,119.68355696,25673500,120.105696
2015-08-06,120.233326812,120.41985978,117.592452419,42225300,118.485836
2015-08-07,117.945877573,118.240401607,116.895420006,42261400,117.690624
2015-08-10,118.132410625,119.300672701,118.112771959,28798900,119.045426
2015-08-11,118.279671572,118.878524244,117.464828916,33383800,118.024418
2015-08-12,117.386287443,118.14222097,115.815509301,46500100,117.798615
2015-08-13,117.906606813,118.387655959,117.209574553,35698300,117.405919
2015-08-14,117.307746903,118.289483859,116.846329552,21091500,118.161861
2015-08-17,117.837886821,119.457753793,117.415738945,22328200,119.408664
2015-08-18,119.241769656,119.241769656,118.318934954,26360400,118.456385
2015-08-19,117.710263146,118.299303357,116.571444348,45178900,117.229214
2015-08-20,116.17874813,116.443822019,114.264364,51879800,114.264364
2015-08-21,113.027372732,114.529437146,112.281258536,79168300,112.929201
2015-08-24,107.510015918,112.821208918,106.282844724,83809200,108.521204
2015-08-25,111.967103123,112.016185062,107.559099268,59240200,107.686729
2015-08-26,109.787645995,110.631939779,107.421655999,51605300,110.425776
2015-08-27,111.230799932,113.01756119,110.307965231,49533700,112.399062
2015-08-28,112.27143947,113.586963066,112.124176963,41601400,113.50843
2015-08-31,112.997922286,113.86185572,112.664135646,29250900,113.096095
2015-09-01,111.044267731,112.035824017,109.561841987,45129200,109.856367
2015-09-02,111.338791525,111.888561272,110.033079416,26865800,111.82966
2015-09-03,111.996554956,113.027373861,111.476235346,33334500,111.652948
2015-09-04,110.474858509,111.623488782,110.22942427,31154600,110.808653
2015-09-08,112.467784088,113.45934038,112.026005402,29916300,113.341529
2015-09-09,114.048379845,114.293814083,111.927831953,40963000,112.035824
2015-09-10,111.672579088,113.174635654,111.652947294,29877900,112.546324
2015-09-11,112.075095228,113.096094794,111.584226748,27949400,113.076463
2015-09-14,113.410250243,113.429888909,112.340159906,22365800,112.556144
2015-09-15,112.762308102,114.06801924,112.634684261,26745300,113.822585
2015-09-16,113.832397501,114.882856048,113.675323515,27127800,114.804322
2015-09-17,114.78468344,116.718706234,114.549068533,50405400,115.197011
2015-09-18,113.64587246,114.706142487,113.292447155,42736100,113.606602
2015-09-21,114.411626085,115.157748137,112.978291108,33021700,113.400438
2015-09-22,112.35979159,112.634683828,110.985365743,35786900,111.682398
2015-09-23,111.937645194,112.33034096,111.004998028,25506800,111.348604
2015-09-24,110.730112774,111.348604114,109.826916734,39810300,111.162079
2015-09-25,112.061963135,112.150576955,109.216601393,43750300,109.699031
2015-09-28,109.334750131,109.433204569,106.213707316,56765300,106.627226
2015-09-29,106.577995028,107.424712647,105.337454733,49980700,105.869115
2015-09-30,106.804445861,107.739769427,106.243250935,50834500,107.513319
2015-10-01,107.680699509,107.985908368,105.770661341,44985900,107.326259
2015-10-02,106.312169186,108.921232,105.465452545,58019200,108.921232
2015-10-05,109.935328591,111.69767376,109.817179131,45220500,111.520454
2015-10-06,111.461383028,111.914276988,110.053470484,34140000,110.752503
2015-10-07,111.35308223,112.731460131,110.890340754,36371000,112.711772
2015-10-08,112.613309798,113.962152046,112.189951479,43072200,113.725861
2015-10-09,113.932616869,114.346127678,113.617560499,26497200,113.952305
2015-10-12,114.001534914,114.198442806,113.292654887,22984000,113.784932
2015-10-13,113.332038694,114.5036602,112.170263715,37445300,112.229335
2015-10-14,112.278565481,112.977598001,110.969106385,39987400,111.126639
2015-10-15,111.441694909,113.784932,110.919883138,42503400,113.784932
2015-10-16,114.011383533,114.011383533,112.662541275,33685600,113.637248
2015-10-19,113.125283818,114.415046915,112.879145259,24949500,113.853851
2015-10-20,113.794780439,114.503660473,113.253272656,20531400,113.696326
2015-10-21,114.129524352,114.188602529,111.894590188,34060300,111.963508
