Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,80.6433917003,80.7529137485,79.7581014066,6724500,79.885875
2013-08-27,79.3747825582,79.4751770087,78.4529855224,9941200,78.644645
2013-08-28,78.8180541772,79.3200246004,78.3799696376,8829200,78.973206
2013-08-29,78.8636906871,79.5299341452,78.4803644316,5768800,79.009714
2013-08-30,79.2013737914,79.2013737914,78.3525911493,7471300,78.863691
2013-09-03,79.3017671188,79.6759648643,78.5168721884,7590500,78.872812
2013-09-04,78.9093191143,79.6303281558,78.7176596383,8458800,79.310896
2013-09-05,79.4021613465,79.5573131698,79.0553500464,5647900,79.438669
2013-09-06,79.6029493733,80.2418146005,78.4894928642,10034900,79.548192
2013-09-09,79.7581012639,79.9497607409,79.4112899633,6819700,79.913254
2013-09-10,80.4426032735,80.8441801645,80.1779284873,8658700,80.798544
2013-09-11,80.8898094038,81.4739172653,80.4426036476,8098100,81.437416
2013-09-12,81.5013017842,81.7477195472,81.1179755288,7938500,81.236627
2013-09-13,81.3461426344,81.455665595,80.4973609088,7738600,80.835051
2013-09-16,81.6199463233,81.747719917,81.0723470327,7563700,81.254878
2013-09-17,81.2731348781,81.428286702,80.8441797587,6291100,81.282257
2013-09-18,81.145362472,82.058031,80.5886337573,10115500,82.058031
2013-09-19,82.1858033675,82.3226981702,81.9485077258,6721000,82.204054
2013-09-20,82.3226988989,82.7972901865,81.848114,14708600,81.848114
2013-09-23,81.6199469521,81.9120008828,81.054090636,7376200,81.309636
2013-09-24,81.2457491676,81.4100295017,80.4517321161,7797500,80.515618
2013-09-25,80.6981491731,80.7437853374,79.4660484894,7493200,79.475177
2013-09-26,79.6577074764,80.0410264293,79.1466149308,6400600,79.466048
2013-09-27,79.2287529187,79.3474034778,78.8910692148,5461100,79.155744
2013-09-30,78.7906763279,79.3565262554,78.6263959919,7962300,79.119237
2013-10-01,79.0279641326,79.8493676325,78.7267889946,6318700,79.831117
2013-10-02,79.5208053862,79.666836,78.8910686709,6383400,79.666836
2013-10-03,79.5755708022,79.7672311932,78.7450397035,7724600,79.018843
2013-10-04,79.2378812486,79.7854805376,79.000585607,6050000,79.685087
2013-10-07,79.1283584505,79.3839111137,78.7541680056,5705200,79.027964
2013-10-08,79.0553500316,79.1648656908,78.0970453465,8669800,78.133553
2013-10-09,78.4256068567,78.699410154,78.0331593885,8014200,78.452986
2013-10-10,79.1466151914,80.114042,79.1283581703,8647900,80.114042
2013-10-11,80.8806875986,81.6655825318,80.3330810064,8449800,81.638197
2013-10-14,81.0723466211,82.0397725163,80.8898083534,9198600,81.957636
2013-10-15,82.4413502378,83.4726629399,82.076281,11024000,82.076281
2013-10-16,82.5234859815,83.2079873733,82.2861976416,8116000,83.15323
