Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,34.6322168161,34.6322168161,34.1925877171,12740600,34.201558
2013-08-27,34.0759498901,34.3092256964,33.9144516001,16742500,34.228477
2013-08-28,34.1477274473,34.5694132902,34.1387535755,19245200,34.407915
2013-08-29,34.5155825545,34.5155825545,34.183613,14215700,34.183613
2013-08-30,34.2374478449,34.3451118781,34.0938946045,14296600,34.255392
2013-09-03,34.336140068,34.4527788681,33.9144515347,19068500,34.004175
2013-09-04,33.986229895,34.7488555724,33.9234253535,19138600,34.578387
2013-09-05,34.6591351135,34.7129657823,34.1477267132,14290500,34.309225
2013-09-06,34.4348339238,34.6501619868,34.1836130652,13976900,34.407915
2013-09-09,34.560442,34.5873573349,34.3361400659,10605500,34.560442
2013-09-10,34.7847441868,34.793715367,34.5514683792,11757300,34.659136
2013-09-11,34.7039951239,34.793715,34.5694130667,11996500,34.793715
2013-09-12,34.8750518357,34.8931273971,34.5948937392,12114100,34.739491
2013-09-13,34.8479405338,35.0106133549,34.7214152202,11623600,34.965424
2013-09-16,35.2726937838,35.4263301825,35.010613957,13351500,35.119061
2013-09-17,35.073874658,35.3269189655,35.0558,12881700,35.0558
2013-09-18,35.0738742518,35.7878205214,34.8660165915,18030500,35.778785
2013-09-19,35.8239710478,35.8510821309,35.3811446406,14251700,35.525741
2013-09-20,35.5438156989,35.607077,35.0467599076,30675300,35.607077
2013-09-23,35.3901805356,35.417291619,34.7394919407,19016200,34.911203
2013-09-24,34.9925380548,35.1280961795,34.8117905749,15083300,34.820827
2013-09-25,34.9292785291,34.9563887088,34.6129693017,11446100,34.640084
2013-09-26,34.7846807773,35.010614,34.694304777,10941100,35.010614
2013-09-27,34.8569777848,34.8660169212,34.4774117761,12609600,34.703345
2013-09-30,34.5135583903,34.6129690088,34.1159168198,18101500,34.233403
2013-10-01,34.3418497407,34.4231857006,33.9984303395,13196000,34.296664
2013-10-02,34.1701424113,34.1701424113,33.627900855,25664200,33.826723
2013-10-03,33.8538329617,33.8538329617,33.5556029172,14437900,33.582714
2013-10-04,33.6640497402,33.6821243978,33.3567805614,17217500,33.618864
2013-10-07,33.5104176982,33.7815366641,33.2844844734,16708600,33.483303
2013-10-08,33.5284881772,33.8086471786,33.3477452154,20471300,33.691161
2013-10-09,33.7815359603,33.8176825643,33.4471520835,18998900,33.510417
2013-10-10,34.1339915747,34.2153284393,33.844797951,17174400,34.143028
2013-10-11,34.269550129,34.269550129,33.9080587726,14266900,34.133992
2013-10-14,33.9442083909,34.2966642195,33.8990190351,14202900,34.260514
2013-10-15,34.5045221078,34.676230455,33.9803552186,21676600,34.034581
2013-10-16,34.3508855215,34.5587477022,34.1430278594,17995100,34.34185
2013-10-17,34.3960746914,34.8479411364,34.3508853357,15900200,34.838902
2013-10-18,34.866017131,35.046761,34.7214162519,18896600,35.046761
2013-10-21,35.2003971801,35.2003971801,34.8840879555,12977500,35.082911
2013-10-22,35.1190613371,35.4715162638,34.9654249369,17110200,35.326919
2013-10-23,35.3178834785,35.4715162638,35.0648355557,12591800,35.326919
2013-10-24,35.3811452297,35.5799637586,35.0286857799,17143800,35.064836
2013-10-25,35.1009856536,35.363069097,34.9112026493,14383400,35.272694
2013-10-28,35.2636576864,35.9143471805,35.2365475069,16552100,35.796861
2013-10-29,35.7607113339,36.1131662659,35.5618882858,14199600,35.968569
2013-10-30,36.0408683576,36.049903879,35.7064844789,12360000,35.805896
2013-10-31,35.7064842198,36.0227934385,35.7064842198,14853500,35.76071
2013-11-01,35.7607107803,35.8962716188,35.5438166922,12430400,35.796861
2013-11-04,35.8872324834,35.9776075807,35.5167019951,10252100,35.706485
2013-11-05,35.5709272997,35.8239707003,35.4444046956,10575000,35.697449
2013-11-06,35.8058968502,36.3481384016,35.6251493652,17198000,36.194502
2013-11-07,36.2216162237,36.3752490083,35.9324180824,16233200,35.995683
2013-11-08,35.9143475102,36.194502,35.6884142836,11903600,36.194502
2013-11-11,36.1583517029,36.1945019228,35.9414576133,9567800,36.03183
2013-11-12,36.0679800833,36.1402805229,35.8058966382,10509200,36.040869
2013-11-13,35.9866440341,36.257763,35.8330112487,11770500,36.257763
2013-11-14,36.2306519557,36.546957567,36.176427078,10887200,36.339099
2013-11-15,36.2939131225,36.4385103859,36.1131656395,12021500,36.348138
2013-11-18,36.3662139183,36.3662139183,36.1493162136,9553900,36.302949
2013-11-19,36.275838,36.3571748654,36.0770158566,11014800,36.275838
2013-11-20,36.1945018635,36.5559968322,36.0950912442,14422500,36.203541
2013-11-21,36.3300633376,36.5921467812,36.2396873367,26364300,36.537921
2013-11-22,36.4565850393,36.5650320832,36.2306518152,26396500,36.537921
2013-11-25,36.583107522,36.9446015831,36.4475493955,14059100,36.483696
2013-11-26,36.5921467021,36.6915537056,36.3662134785,14240400,36.375249
