Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,105.450556981,106.178884028,105.137103855,1815700,105.404465
2013-08-27,104.556289548,104.9342779,103.874054482,1907500,103.929375
2013-08-28,103.726549259,104.565503514,103.588258567,1545800,104.178294
2013-08-29,104.058445454,104.943499064,103.791084309,1457200,104.473312
2013-08-30,104.740673032,104.860521401,104.040002096,2205600,104.713016
2013-09-03,105.625727016,105.948401304,104.040002466,2168100,104.38112
2013-09-04,104.252050325,105.893088016,104.252050325,2312200,105.607291
2013-09-05,105.422899853,106.132791951,105.127882598,1947900,105.902309
2013-09-06,106.10512698,106.778140881,104.998811588,1965600,106.059035
2013-09-09,106.602971775,107.995090644,106.492344568,1976800,107.626317
2013-09-10,108.151817939,108.668104358,107.93055615,2572800,108.409957
2013-09-11,108.446835804,109.442524,108.409957609,1889000,109.442524
2013-09-12,109.525500612,109.626914032,108.787952406,2399700,108.972336
2013-09-13,109.239697502,109.571592951,109.082970939,1973300,109.34111
2013-09-16,110.438211968,110.631816725,109.765198983,2756300,109.921932
2013-09-17,109.77441965,110.806985112,109.387210137,2436000,110.567281
2013-09-18,110.862299006,112.023934918,110.511967687,3307700,111.821109
2013-09-19,111.692039488,112.724598495,111.692039488,2912400,112.079249
2013-09-20,112.014714549,112.411145226,110.641038,6999000,110.641038
2013-09-23,111.028246455,111.987056447,110.972933313,3468500,111.655161
2013-09-24,111.775010385,112.355832033,111.267951579,3585100,111.369365
2013-09-25,111.452334788,111.747352965,110.788542968,2173400,110.8162
2013-09-26,111.18497356,111.553748125,110.558059934,2240900,111.240295
2013-09-27,110.604160048,110.908399389,109.949589385,2028100,110.834643
2013-09-30,110.069436754,110.594937881,109.405644936,2104700,110.08788
2013-10-01,110.346019304,110.465868595,109.525500922,1854800,110.281485
2013-10-02,109.829732774,110.253820481,109.19360444,2056500,109.894268
2013-10-03,109.442523401,109.811297966,108.686539322,2525800,109.295018
2013-10-04,109.129070166,110.364455093,108.907801002,1983700,110.078659
2013-10-07,109.304233177,109.958803838,109.046093193,1931200,109.424088
2013-10-08,109.451743837,109.912709736,107.958211561,2869000,108.013533
2013-10-09,108.114939694,108.751074481,107.543346586,2499200,108.391522
2013-10-10,109.341110308,110.023338,109.082971246,2688800,110.023338
2013-10-11,109.857397155,111.341700902,109.147505059,2492700,111.295608
2013-10-14,110.871519751,112.199096929,110.63181564,1866800,111.922522
2013-10-15,111.811887503,111.904078839,110.438210968,2720500,110.465868
2013-10-16,111.424679533,111.498435,110.760886786,2646400,111.498435
2013-10-17,111.314043608,113.27776295,111.286386576,2791700,113.04728
2013-10-18,113.277763408,113.812478322,112.844454538,2590500,113.250099
2013-10-21,113.204007292,113.683409064,113.102593871,1762200,113.628095
2013-10-22,113.729508163,114.614561772,113.655751775,2053500,114.13516
2013-10-23,113.79404208,114.070624386,112.936645506,2337500,113.581995
2013-10-24,113.360733069,115.204596666,113.121028957,3851100,113.849356
2013-10-25,113.44371104,114.743631194,113.277763316,2054300,114.706753
2013-10-28,114.439391954,115.536493565,114.13515999,2358400,115.167719
2013-10-29,115.315231406,115.684005048,114.8911437,1986700,115.499615
2013-10-30,115.766976887,116.144971693,115.020213968,2107700,115.047871
2013-10-31,115.213818776,116.513738935,115.195376452,2327200,116.025116
2013-11-01,116.864076345,117.020802906,115.352109121,1676600,116.071215
2013-11-04,116.144970954,116.615151562,115.757754988,1741500,116.458425
2013-11-05,115.932924466,116.587495126,115.112406082,1757900,116.274042
2013-11-06,116.587495532,117.380357809,116.375454904,1910300,117.205188
2013-11-07,117.223630691,117.896636298,116.375454353,3188900,116.541403
2013-11-08,116.191064582,118.025713486,116.191064582,2234300,117.99805
2013-11-11,117.58318265,118.163996918,117.315821506,1751500,117.961171
2013-11-12,118.145554868,118.551206705,117.592404084,2428600,118.339167
2013-11-13,117.878201393,118.615749602,117.481769795,2426300,118.551207
2013-11-14,118.901546292,119.961762341,118.744819729,2569800,119.657523
2013-11-15,119.067486676,119.851134239,118.910760113,2360400,119.71285
2013-11-18,119.768164082,120.312100157,119.648308338,2148200,119.97099
2013-11-19,119.869576968,120.57024053,119.777378256,2532500,119.897234
2013-11-20,119.975979225,120.717146355,119.095849339,2691800,119.679507
2013-11-21,120.152007705,120.819057473,120.059356602,1576100,120.763472
2013-11-22,120.772731633,122.801670891,120.272451256,1644800,121.384195
2013-11-25,122.106829083,122.171673552,121.310076483,2496300,121.578743
2013-11-26,121.782563976,122.885047795,121.671393956,4229600,122.43108
2013-11-27,122.875789401,123.820763757,122.236532369,2433500,123.681801
2013-11-29,123.69106,124.293264368,123.533563503,2029000,123.69106
2013-12-02,121.986386366,122.292118515,118.021157995,6897900,118.289831
2013-12-03,116.788971062,118.021157725,115.945900316,7864500,117.289257
2013-12-04,116.687059873,118.206445868,116.260891297,3450700,117.159554
2013-12-05,117.103969162,118.262038459,116.937206257,2842700,117.502345
2013-12-06,118.762323645,119.327462385,118.447325093,2886100,119.151434
2013-12-09,119.327463045,119.679506846,118.94761261,2064400,119.114382
2013-12-10,118.651154534,119.077316624,118.150861185,2353100,118.169394
2013-12-11,119.271877623,120.124215699,117.391167527,3897500,117.446753
2013-12-12,117.31704914,118.021157124,116.714858665,2486700,117.270731
2013-12-13,117.335583049,117.98409815,116.714858832,1743400,117.131761
2013-12-16,117.446753174,119.299670537,117.168820249,2805300,118.271305
2013-12-17,120.828316299,121.940060045,120.420674054,6206800,121.726979
