Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,43.0334998396,43.1235307847,42.7904235802,9220200,42.871449
2013-08-27,42.6013644092,42.7814208945,42.250254263,10842400,42.412306
2013-08-28,42.115211544,42.6733893563,41.8361257888,9812200,42.3943
2013-08-29,42.2862679812,42.6733903387,42.1242171387,9695400,42.403302
2013-08-30,42.3943006096,42.7454107654,42.331280838,8326300,42.574358
2013-09-03,42.7814214561,42.9074609974,42.3222756121,14212400,42.502333
2013-09-04,42.4303125553,43.1055243894,42.4123069064,11065200,42.925467
2013-09-05,43.0244987845,43.0244987845,42.5473463896,7898200,42.772417
2013-09-06,42.8264357948,43.0515064055,42.3672926494,26664900,42.754415
2013-09-09,42.8534418587,43.0785124662,42.7454097677,29180200,42.979485
2013-09-10,43.0875180087,43.5736714212,43.0875180087,30808600,43.195551
2013-09-11,43.2405649311,43.6726996044,43.1775451599,13379100,43.339596
2013-09-12,43.421354081,43.584866368,43.285097324,9502400,43.466773
2013-09-13,43.4940276894,43.5939522183,43.3032616889,7681000,43.412272
2013-09-16,43.8301327004,44.0118129153,43.6938714037,9428200,43.775628
2013-09-17,43.702958379,43.8119650553,43.5485291507,7703300,43.612116
2013-09-18,43.4304391373,44.2479942,43.2669277614,14008700,43.966394
2013-09-19,44.0299820021,44.0481508416,43.693872551,9328000,43.839216
2013-09-20,43.9028065259,43.9663942836,43.484941393,27961000,43.612116
2013-09-23,43.4122715277,43.6575385934,43.1851723929,12605700,43.312347
2013-09-24,43.2669284716,43.8028824347,43.1670039429,13300600,43.176087
2013-09-25,43.303261,43.5939515247,43.0761618663,11356300,43.303261
2013-09-26,43.4031857455,43.6030338926,43.1579177715,10261100,43.312347
2013-09-27,43.2124238508,43.5212786775,42.9580737253,10510300,43.412272
2013-09-30,43.2760100793,43.4849412826,42.9580731084,16244000,43.24876
2013-10-01,44.438756743,44.720361486,43.7392950435,27339200,44.275249
2013-10-02,44.0118135404,44.1026513782,43.7120408636,13975300,43.93914
2013-10-03,43.8028814861,44.2843307375,43.6030333415,17900500,43.930057
2013-10-04,43.8483008615,43.9300574583,43.5485290958,11570800,43.811965
2013-10-07,43.5303609882,43.8119657363,43.3123476323,9195800,43.50311
2013-10-08,43.457690689,43.7392954346,43.2760104717,14020700,43.375935
2013-10-09,43.3214306433,43.4395231034,42.8218125399,15353400,42.939905
2013-10-10,43.2396729847,43.2669276057,42.6583001142,17262400,43.139753
2013-10-11,43.0761618242,43.1397532152,42.8308983936,10253500,42.958073
2013-10-14,42.5129569183,42.7673106733,42.1859341658,20674500,42.467538
2013-10-15,42.2586071729,42.5402119179,42.1677657018,14161000,42.304027
2013-10-16,42.3403636625,42.849063,42.3040268925,11102700,42.849063
2013-10-17,42.8127299308,42.9489875953,42.594712944,13878500,42.794562
2013-10-18,43.0307425432,43.1034160821,42.2131874863,20632400,42.340363
2013-10-21,42.4221200708,42.4402880019,41.8589151145,16678000,42.249522
2013-10-22,42.067844554,42.4402871343,41.9134153259,15841500,42.213188
2013-10-23,42.3312771366,42.4402874471,42.2222713681,9650700,42.294944
2013-10-24,42.5129571766,42.5674627858,41.958835287,11201100,41.986089
2013-10-25,42.0133400943,42.3131127701,41.6499796604,17894000,42.276776
2013-10-28,41.3956310591,41.6227301981,41.0686073905,27297600,41.195782
2013-10-29,41.2502867718,41.4864680548,40.9505177312,15890000,41.404716
2013-10-30,41.5591414154,41.5682235639,40.9777685422,9958500,41.095861
2013-10-31,41.1594481473,41.2957058115,40.9596,14994200,40.9596
2013-11-01,40.7597513412,41.1957807667,40.532652209,20893500,41.086775
2013-11-04,41.713567584,42.031508192,41.4773862988,16177500,41.531891
2013-11-05,41.413798296,41.5863927304,41.16853123,10420500,41.204868
2013-11-06,41.3865472014,41.8044087007,41.1866990545,12361300,41.749904
2013-11-07,41.9225016717,42.0042573594,41.5863922304,11675400,41.622729
2013-11-08,41.7226529216,42.5765447576,41.6590660725,17423800,42.512957
2013-11-11,42.6128813121,42.8308982966,42.5856303246,7533400,42.694637
2013-11-12,42.6492191139,43.2669287706,42.512957814,13950600,43.230592
2013-11-13,42.4584558954,43.0307429877,42.3767002072,14157400,43.003492
2013-11-14,43.1670030414,43.484940918,43.1488351108,11280600,43.439522
2013-11-15,43.2669284278,43.8573843664,43.2669284278,11991500,43.666622
2013-11-18,43.6393706213,43.8392151346,43.4031857045,7930100,43.612116
2013-11-19,43.6484531607,43.7574598379,43.2850972672,8345300,43.666622
2013-11-20,43.5848666087,43.9845592752,43.3759354015,8251900,43.721127
2013-11-21,43.8028821997,44.2389125402,43.7483774987,12837100,44.166239
2013-11-22,44.04815028,44.5477674713,44.0027277275,13967900,44.456926
2013-11-25,44.4660113675,45.2744833766,44.4569255854,18282100,45.110972
2013-11-26,45.110971906,45.1927275941,44.6567736387,22939300,45.038302
2013-11-27,45.0473840156,45.3380709058,45.020133028,11565500,45.265401
2013-11-29,45.2290642303,45.3744076754,44.9474603971,6900000,45.265401
2013-12-02,45.1836463337,45.8013523558,45.1836463337,14829900,45.583339
2013-12-03,45.2563156092,45.4743316871,44.8566220401,13604400,45.20181
2013-12-04,45.0564672756,45.1018907369,44.34791978,11451600,44.793035
2013-12-05,44.4296747456,44.738529569,44.30249923,8721900,44.338836
2013-12-06,44.6295237122,45.0292172885,44.4750944809,7403200,44.865705
2013-12-09,44.8566226207,45.2835662747,44.6931112415,9331500,45.020134
2013-12-10,44.7657806105,45.0110476765,44.6022683248,10236400,44.902041
2013-12-11,44.974710331,44.99287917,44.2843307858,14504000,44.466011
2013-12-12,44.5210069818,44.7134996099,44.0260226645,11611700,44.291848
2013-12-13,44.6768368499,44.823498598,44.0535235038,8396300,44.346847
2013-12-16,44.2735146292,44.5393399663,43.8976938968,11349200,44.081022
2013-12-17,43.9343592441,43.9985237579,43.641036669,13900000,43.906862
2013-12-18,43.8793602593,44.8509952441,43.6777031082,13549700,44.823498
2013-12-19,44.6860016461,44.869329749,44.4843408246,8762400,44.722668
2013-12-20,44.7868323895,45.3276475874,44.5760061259,16805100,45.208484
2013-12-23,45.3184790404,45.5568062133,45.144319132,8263900,45.24515
2013-12-24,45.3093137185,45.5293045069,45.1259865337,4252900,45.290981
2013-12-26,45.3184801027,45.6026381617,45.2451510605,5069800,45.57514
2013-12-27,45.6209703647,45.7401348692,45.4009768243,4244300,45.639304
2013-12-30,45.5934725656,45.776797,45.2176518378,6321900,45.776797
2013-12-31,45.5934736078,45.9051298282,45.40097731,8474900,45.877628
2014-01-02,45.721801096,45.8684628448,45.1901504234,7886500,45.364314
2014-01-03,45.3643132139,45.8317956968,45.3368113866,6435000,45.584304
2014-01-06,45.6576365985,45.9601246222,45.3826430695,9931400,45.593473
2014-01-07,45.7951297783,46.1984523342,45.7767970599,9995800,45.932627
2014-01-08,45.9234583892,45.9601247431,45.4651404229,13695700,45.639304
2014-01-09,45.6668027835,45.8317972536,45.2268175299,9323900,45.391812
2014-01-10,45.6759701202,45.8959609097,45.3734784308,8143100,45.721801
2014-01-13,46.6567709721,48.9850234995,46.5559401026,37291300,48.6917
2014-01-14,48.1508841988,48.6733657592,47.8208943494,21190700,48.581704
2014-01-15,48.2608835041,48.4900424864,47.9858890588,10488000,48.141719
2014-01-16,47.8025652599,48.5633712434,47.7567297972,7769600,48.123386
2014-01-17,48.2333812336,48.2608830612,47.4084107382,16758800,47.619237
2014-01-21,47.6925664358,47.8942272566,47.3992429387,11035500,47.509242
2014-01-22,47.4542429306,47.6467364793,47.0050904004,10653600,47.069254
2014-01-23,46.9409258975,47.4359102252,46.6201051496,15877800,47.298413
2014-01-24,46.9959234985,47.8208939911,46.8675953866,18261300,47.646735
2014-01-27,48.4533756871,49.5900014789,48.150884,31002000,48.150884
2014-01-28,48.0042230322,48.6642018225,47.8667294751,15078200,48.462541
2014-01-29,48.3067144391,48.4350425527,47.46340755,19346100,47.857561
2014-01-30,48.0867201858,49.1958487495,48.0133911444,17371800,49.049187
2014-01-31,48.8658622154,49.0216894064,48.3617097053,16290000,48.554206
2014-02-03,48.4992069875,48.7192014437,47.5917355849,15488600,47.738401
2014-02-04,48.2058837739,49.0583551926,48.0317247797,18181900,49.049187
2014-02-05,49.7549969417,50.5983038234,48.7100319903,24506300,49.06752
2014-02-06,48.820027842,49.3791766764,48.3983762305,12244800,49.287514
2014-02-07,49.1775195893,50.2499817966,48.9850232937,14497100,50.20415
2014-02-10,49.7641662674,50.4149768704,49.7000017514,10609600,50.314146
2014-02-11,50.1491505999,51.1024528797,49.9016588999,15352600,51.056622
2014-02-12,50.8182948914,51.0474538732,50.2774787776,13629700,50.414976
2014-02-13,49.9108273943,50.6074688691,49.8741610404,10243400,50.506638
2014-02-14,50.3691452279,50.9832894673,50.3691452279,8681900,50.818295
2014-02-18,50.6166369464,51.2674475397,50.5341397127,11201100,51.047454
2014-02-19,50.8182945351,51.0199553543,50.4058111206,10297100,50.451642
2014-02-20,50.5158078386,51.3316129129,50.4424751297,10133100,51.157453
2014-02-21,51.1941146167,51.6432680536,51.1666173722,11666600,51.35911
2014-02-24,51.2124489426,52.1749157609,51.2124489426,11012500,51.496607
