Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,72.0681411811,72.1222509023,70.8147046611,6385400,70.823724
2013-08-27,70.2195514488,70.6614088835,69.7326036314,7052200,70.309725
2013-08-28,70.2105327971,70.2105327971,69.299759,9008500,69.299759
2013-08-29,69.2186031627,70.1924915701,68.9120033537,5961000,69.714564
2013-08-30,69.9129517225,70.3998995405,66.3780796154,9039100,70.237583
2013-09-03,70.5802471373,70.7155110706,69.8317962051,6743800,70.111338
2013-09-04,69.9039317044,70.1113377239,69.543235699,6031300,69.87688
2013-09-05,69.9580422676,70.0031254363,69.2817271045,7163200,69.561268
2013-09-06,69.5432352957,69.9850927242,68.893971849,6977400,69.570287
2013-09-09,69.7686738046,70.5171238292,69.7686738046,6089300,70.48106
2013-09-10,70.7876531541,70.9138977484,70.1383897011,6650200,70.291686
2013-09-11,69.6694804317,70.580247,69.6604610928,7049800,70.580247
2013-09-12,70.6974794959,71.0581818144,70.4900725742,6944900,70.571234
2013-09-13,70.7335494392,71.4008452549,70.7064986365,4894100,71.28362
2013-09-16,71.8877927392,72.329650168,71.8787734003,7512800,72.284567
2013-09-17,72.1042122551,72.3657216838,71.8156511219,5457700,71.986987
2013-09-18,71.2926331011,72.5731276373,70.8147046265,10372100,72.410812
2013-09-19,72.5911596384,72.6182113427,71.9418961908,8157300,72.248496
2013-09-20,72.2214377759,72.3025992019,71.590213,11146100,71.590213
2013-09-23,71.418877913,71.7615487682,70.9409494369,6304900,71.49102
2013-09-24,71.2114779354,71.6713740442,70.8688070815,7692100,70.895866
2013-09-25,71.09424647,71.2385306454,70.075267661,7589300,70.084287
2013-09-26,70.2556224053,70.4630212122,69.9941129751,4632600,70.381867
2013-09-27,70.1113378139,70.1113378139,69.2276166384,6551300,69.62439
2013-09-30,69.254675104,69.5793072826,67.9471279523,15028300,68.163547
2013-10-01,68.1004244239,68.9841455956,68.0282886497,8076100,68.677553
2013-10-02,68.452115536,68.6595143436,68.0102508863,8522900,68.470147
2013-10-03,68.434076383,68.6595147717,67.8118646266,9251600,68.388986
2013-10-04,68.5152362691,68.641481764,68.0914112061,4984700,68.551301
2013-10-07,68.2266763389,68.6234424854,68.0643598002,6373300,68.217657
2013-10-08,68.8849525075,69.4350230726,68.5783599088,9656600,68.83085
2013-10-09,69.0562886951,69.5793075579,68.6234433839,8470700,69.389933
2013-10-10,69.8047458054,70.2646347047,69.5702880793,10121900,70.237583
2013-10-11,70.3367765926,70.7786340267,70.1654416154,6082200,70.769621
2013-10-14,70.3457955222,71.0581817212,70.2736534354,6326100,71.004072
2013-10-15,70.6794408705,70.886847795,69.8317970383,11192500,69.976074
2013-10-16,70.2959740311,71.3320103913,70.214185322,6562600,71.195688
2013-10-17,71.0593729299,72.2226409177,70.8685250354,8671300,72.177198
2013-10-18,72.1499343796,72.313519976,71.5955640492,7958500,72.168115
2013-10-21,72.0408765124,72.0863194301,71.2865738813,6478700,71.768239
2013-10-22,72.0772298124,73.2586775157,72.0499666064,9572300,73.049649
2013-10-23,73.0132945572,73.8403096606,72.9315058494,8960700,73.53132
2013-10-24,73.4040819763,73.5676666643,72.9315067153,7521100,73.258677
2013-10-25,73.2041508302,73.3586456628,72.2589939434,9606500,72.704306
2013-10-28,72.8042746409,74.3946813196,72.658862395,9820900,73.885753
2013-10-29,74.0311581811,75.0853742462,73.7039878975,9482900,74.939962
2013-10-30,75.0035776674,75.0308408729,73.8221363474,6490000,74.085684
2013-10-31,73.7948679956,74.158390435,73.358645794,7786800,73.385909
2013-11-01,73.3222913917,73.9130156858,73.2859383305,6802300,73.749431
2013-11-04,74.0311577694,74.2765384344,73.5313202158,5460100,73.913016
2013-11-05,73.7312511278,74.2856223664,73.4767869672,4949300,74.003895
2013-11-06,74.1947424467,75.521595106,73.9130159908,9526400,75.258042
2013-11-07,75.3489278857,75.5215951576,74.6218821078,10087700,74.81273
2013-11-08,74.776377395,75.0399314116,74.222006156,9768400,74.985405
2013-11-11,74.8399927085,75.1398997865,74.5400865393,6173600,74.758204
2013-11-12,74.7309408228,75.4670700991,74.6309724026,8201700,75.248959
2013-11-13,75.0399314471,75.885119,74.939962118,7581600,75.885119
2013-11-14,75.8215026013,76.7575696258,75.8215026013,7580500,76.630338
2013-11-15,76.4940162539,77.1756191237,76.4849336685,9664700,77.102913
2013-11-18,77.0574767491,77.1937982308,76.5031055105,8507300,76.857539
2013-11-19,76.6212487028,76.8757119564,76.5303692291,7924200,76.648511
2013-11-20,76.6212489102,77.2301520189,76.5576326422,7680900,76.966598
2013-11-21,77.1029128326,77.1483557502,76.8030130233,7287700,76.948418
2013-11-22,76.8211862121,77.2483249175,76.5485487006,7436200,77.202882
2013-11-25,77.2119717365,77.9935439315,77.1120024073,9670500,77.620938
2013-11-26,77.4300833255,77.9390180125,76.921155,7111600,76.921155
2013-11-27,77.1392654741,77.1483553299,76.3576941893,4905000,76.593985
2013-11-29,77.0392974682,77.4391729686,76.4758436411,4954500,76.539459
2013-12-02,76.3758742203,76.4758435497,75.5215959,7497500,75.739707
2013-12-03,75.7033608845,76.3395208317,75.6397446171,7533200,76.185026
2013-12-04,75.7760602059,75.8760295355,75.0581042754,6807200,75.748797
2013-12-05,75.7851499502,75.839676362,74.7945574176,8186600,75.14899
2013-12-06,75.6397445272,76.8211858558,75.585211754,7189400,76.812096
2013-12-09,76.775749489,77.1937983377,76.6485105925,7395300,77.048387
2013-12-10,76.7121337175,76.7303061586,75.8215023429,7373300,76.021441
2013-12-11,76.10322984,76.7939225587,75.9850880701,9787900,76.357694
2013-12-12,76.1759360779,76.2213789953,74.4582968607,10176300,74.794557
2013-12-13,74.8127300828,74.9399617082,74.1220373655,7441600,74.858173
2013-12-16,75.1762530274,75.4943334561,74.1583900208,8849700,74.240186
2013-12-17,74.3310646275,74.3855901297,73.3313813439,11416400,73.53132
2013-12-18,73.8039573477,74.9036090616,73.140534194,12036100,74.867256
2013-12-19,74.5037392137,74.7854665778,74.0766005134,6442600,74.431034
2013-12-20,74.5037398964,75.0126682181,74.3583285588,13206100,74.376501
2013-12-23,74.6491440714,74.6491440714,73.6221984921,8653600,73.894836
2013-12-24,73.9130157114,74.1674798695,73.840309589,2899100,73.894836
2013-12-26,74.0584213338,74.42194377,73.8766632966,5347000,74.303802
2013-12-27,74.6037018527,74.9581417037,74.3946815184,4006000,74.531003
2013-12-30,74.521913,74.5673559173,74.1311273587,4145600,74.521913
