Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2015-07-10,201.871128957,202.543094268,199.59230388,129456900,202.056165
2015-07-13,203.526700316,204.412900871,203.478004467,106069400,204.286309
2015-07-14,204.237612599,205.532846396,204.169435684,81709600,205.172509
2015-07-15,205.221205155,205.756830271,204.549239844,97914100,205.104347
2015-07-16,206.331403039,206.75017,206.048990881,106683300,206.75017
2015-07-17,206.740420957,206.993633914,206.263240015,89030000,206.925457
2015-07-20,207.188403261,207.607155614,206.662526469,70446800,207.032582
2015-07-21,206.876761987,207.17866982,205.863954953,77965000,206.214545
2015-07-22,205.415974296,206.234026179,205.377025798,88667900,205.844474
2015-07-23,206.000294865,206.11715302,204.266827647,90509100,204.68558
2015-07-24,204.802452549,204.870614855,202.17303743,117755000,202.562575
2015-07-27,201.530287545,202.124342227,200.868056923,132361100,201.3842
2015-07-28,202.358058092,204.023363003,201.393947881,123544800,203.857809
2015-07-29,204.003882695,205.523099093,203.838328691,105791300,205.260168
2015-07-30,204.666114443,205.503632786,203.945453281,91304400,205.308864
2015-07-31,205.893169906,205.922384688,204.666113993,103266900,204.997222
2015-08-03,204.958274855,205.026437162,203.19557824,113965700,204.305776
2015-08-04,204.21813194,204.753757056,203.341665102,81820800,203.906505
2015-08-05,204.948526506,205.786045823,204.247347384,85786800,204.57847
2015-08-06,204.792704901,204.91931138,202.221719338,116030800,202.903432
2015-08-07,202.718396109,202.893682854,201.462109837,117858000,202.513879
2015-08-10,203.809113696,205.162776089,203.809113696,80270700,205.065399
2015-08-11,203.507219483,203.994148751,202.32884481,126081400,203.215059
2015-08-12,201.695841975,203.672772851,199.99158954,172123700,203.458523
2015-08-13,203.273488307,204.072059123,202.572309187,89383300,203.205326
2015-08-14,202.981328178,204.033097347,202.815774175,72786500,203.945453
2015-08-17,203.254021667,205.084865,202.718396551,79072600,205.084865
2015-08-18,204.763490416,205.172509052,204.218131584,71692700,204.490811
2015-08-19,203.62407736,204.520026239,201.929573246,172946000,202.874217
2015-08-20,201.111521844,202.844988094,198.569750085,194327900,198.637927
2015-08-21,196.456478445,198.608711651,192.356541802,346588500,192.658436
2015-08-24,182.588741218,192.317579198,177.631790573,507244300,184.546192
2015-08-25,190.321166944,190.34064801,182.033635669,369833100,182.374492
2015-08-26,187.058748824,189.697896682,183.445726852,339257000,189.376537
2015-08-27,191.869612298,194.206866937,190.106931273,274143900,194.060794
2015-08-28,193.310919316,194.615885858,192.746079418,160414400,194.070528
2015-08-31,192.931115678,193.924455281,191.859865444,163298800,192.502615
2015-09-01,188.071555256,189.678430603,185.744034334,256000400,186.756855
2015-09-02,189.532342994,190.350395848,187.389857141,160269300,190.3017
2015-09-03,191.129471771,192.872686345,189.863467358,152087800,190.43804
2015-09-04,187.808624959,188.792217213,186.601035502,207081000,187.555412
2015-09-08,190.817842553,192.444185326,190.067967589,116025700,192.268883
2015-09-09,194.109490816,194.255563754,189.269412903,149347700,189.697898
2015-09-10,189.473914698,192.064381324,189.1720205,158611100,190.7302
2015-09-11,190.272486386,191.674844631,189.444700784,119691200,191.596934
