Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,74.4709595305,74.7586336553,74.1368832701,1572800,74.350324
2013-08-27,73.6264883266,74.2296817609,73.4594580826,2241400,73.997685
2013-08-28,73.9327259224,74.4895172207,73.6636087517,1880800,74.136884
2013-08-29,73.9512891133,74.9349535202,73.7749697196,1464900,74.47096
2013-08-30,74.4338391971,74.4709596065,73.6914542085,1438200,74.146166
2013-09-03,74.9256709391,75.4453483158,74.2946397588,1527100,74.767915
2013-09-04,74.6936746632,75.463905759,74.4802413569,1500300,75.231909
2013-09-05,75.111272514,75.2597467277,74.7864714836,1682100,74.851438
2013-09-06,75.1502439153,75.6824958715,73.8803094233,1923300,75.159577
2013-09-09,75.3930219701,76.85904931,75.2062696962,2797100,76.747
2013-09-10,77.2232203241,77.3632875635,76.280111869,2552300,77.07382
2013-09-11,77.0924921556,78.3250747019,76.9617636047,2431100,78.185014
2013-09-12,77.624743151,78.0636185055,77.4286512585,1988700,77.615411
2013-09-13,77.886206299,78.3530939778,77.7181258009,1198600,78.026267
2013-09-16,78.969382,79.352232698,78.6705738855,2031200,78.969382
2013-09-17,79.1281225337,79.4829618412,79.0814375006,1711100,79.249518
2013-09-18,78.5305059939,80.3046810474,78.5305059939,2155900,80.220645
2013-09-19,80.7342170385,81.733356678,80.3513728744,2876600,81.145081
2013-09-20,81.1917651406,81.6306404957,80.360706,5257600,80.360706
2013-09-23,80.8836246896,81.4252087971,80.6221610517,2246000,80.659513
2013-09-24,80.6034891109,81.014352137,80.0899098613,2489000,80.183293
2013-09-25,80.2486570515,80.7248778206,80.0992501912,1341100,80.286009
2013-09-26,80.2299770473,80.7155439695,79.8938179177,1049400,80.145941
2013-09-27,79.8938177009,79.9778612182,79.4736215915,1143800,79.753757
2013-09-30,79.2681899115,79.5109743081,78.7732908349,1721400,79.156135
2013-10-01,79.305541613,79.3522331825,78.7919623618,1392500,79.053426
2013-10-02,78.8666667575,78.885346,78.1569956093,2441000,78.885346
2013-10-03,78.7359384615,78.7639498548,78.2316988326,1998300,78.493155
2013-10-04,78.5118346479,79.1281226544,78.3811060966,1452100,79.072098
2013-10-07,78.4838225217,78.9040186362,78.2223598159,1271900,78.521167
2013-10-08,78.4371309902,78.5958709353,77.4379913454,1838900,77.494016
2013-10-09,77.6247438562,77.6901081323,76.7936847091,1675800,76.8964
2013-10-10,77.5220283911,78.7172664669,77.5220283911,2003300,78.595871
2013-10-11,78.4838220946,79.1654743747,78.2036866842,1695700,79.053426
2013-10-14,78.651901502,79.6323618965,78.6238826385,1377900,79.557658
2013-10-15,79.3055421149,79.4456102878,78.7826307094,1753400,78.885346
2013-10-16,79.5203135348,80.5754768922,79.4175973113,2065900,80.379385
2013-10-17,79.6697140466,80.416737139,79.2495179342,1998000,80.323354
2013-10-18,80.8182606728,81.0143525658,80.4260694167,2027700,80.846273
2013-10-21,80.9489887241,81.1730929454,80.6315013631,1768000,81.014353
2013-10-22,82.2189237247,82.2189237247,80.5474648869,3823600,80.967661
2013-10-23,80.5007727249,80.7248769434,79.9498489985,1945400,80.566137
2013-10-24,80.566137477,81.5559365615,80.4634212531,1991600,81.266469
2013-10-25,81.0703771205,81.3785248583,80.7995813311,1764100,80.892957
2013-10-28,80.920976887,81.6679925103,80.9022967108,1625900,81.341173
2013-10-29,81.481240294,81.7053445143,81.1450811623,1562900,81.499913
2013-10-30,81.499912837,81.6960047297,80.799581314,1282200,81.145081
2013-10-31,81.2291173346,81.3224930037,80.5754773788,1821200,80.584817
2013-11-01,80.8462725649,80.864944337,80.3233536942,1432000,80.678193
2013-11-04,80.780908952,81.331832684,80.631501158,1095600,80.864945
2013-11-05,80.7435566212,81.1730923547,80.4354088837,1445300,80.734217
2013-11-06,80.8089212026,81.7987202904,80.7342173057,1940600,81.696005
2013-11-07,81.7987208406,82.2002451849,81.3785256576,2139400,81.443889
2013-11-08,81.3785250779,82.0134923272,81.2477965265,1758400,81.98548
2013-11-11,81.9668008127,82.4617008236,81.8454128162,1367300,82.14422
2013-11-12,81.7053450265,82.0415050941,80.4167378148,2496800,80.715545
2013-11-13,80.5287863328,81.7240178769,80.3793860081,2081900,81.443889
2013-11-14,81.7613691303,82.4336883272,81.509252583,1585900,82.405676
2013-11-15,82.3776638858,82.9846197424,82.2375966468,1764700,82.79786
2013-11-18,82.9939519567,83.0406435264,82.2375967095,1676800,82.340312
2013-11-19,82.3683248463,82.5830959837,82.0788572815,1274100,82.256269
2013-11-20,82.2282569301,82.5924283894,81.8827637795,1755400,82.106868
2013-11-21,82.3403116866,83.4981912717,82.1722321209,1787700,83.311439
2013-11-22,83.311438764,84.5907063416,83.1620319047,1885000,84.525343
2013-11-25,84.5533617808,84.964218271,84.5346825385,2112200,84.777466
2013-11-26,84.7868056212,85.1883290266,84.7121017247,2454000,84.777466
2013-11-27,84.964218,85.3750810253,84.7774657296,1902200,84.964218
2013-11-29,85.1696503566,85.6085257132,84.730775,917100,84.730775
2013-12-02,84.2825668347,84.4132953867,82.9846200031,3771100,83.106008
2013-12-03,82.853891125,83.6569314043,82.5737557135,2531800,83.13402
2013-12-04,82.8352116689,83.5355431924,82.0695158699,2349600,82.741836
2013-12-05,82.517731582,82.8819030396,82.0228241035,2334300,82.097528
2013-12-06,82.8112597396,83.975761854,82.8112597396,1831200,83.590728
2013-12-09,83.6282933067,83.8442862579,82.9521287612,2539400,83.064818
2013-12-10,82.7267357214,83.4216872889,82.6703915713,1931100,83.055432
2013-12-11,83.0366462909,83.3183839471,81.7406688496,2179900,81.797013
2013-12-12,81.8157995354,82.0505785664,81.2335447212,1889300,81.355627
2013-12-13,81.2898891281,81.5058886522,81.0363305941,1568300,81.224151
2013-12-16,81.6937093373,82.0411851187,81.3744136132,2367800,81.750061
2013-12-17,81.4871024055,81.7031019291,81.0081578829,1852300,81.299282
2013-12-18,81.6655369768,82.7830879786,81.346241252,2928000,82.773694
2013-12-19,82.4450048826,83.5155963173,82.4450048826,2140300,83.384121
2013-12-20,83.2714248982,84.1823684782,83.2244737875,3911300,83.750376
2013-12-23,84.4359340899,84.4359340899,83.5907277038,1277100,83.731597
2013-12-24,83.6846386905,84.097851663,83.5907280173,512800,84.0415
2013-12-26,84.417147248,84.6707132965,83.9381961477,938600,84.529844
2013-12-27,84.5298443365,84.7176647443,84.0039346107,758200,84.379582
2013-12-30,84.5580160104,85.018181029,84.3889751096,1267900,84.783402
2013-12-31,84.8397460814,85.2153944057,84.7270568432,1107700,85.027574
2014-01-02,84.9994020232,85.1402713197,83.5531622572,1543900,83.891245
2014-01-03,83.8630723177,84.2105405864,83.4686379126,1448600,83.731597
2014-01-06,84.2574997177,84.4265415594,83.3653356421,1763600,83.506204
2014-01-07,83.6376788761,83.7409816482,82.7079558055,1818300,83.017866
2014-01-08,82.8394323406,83.0178672215,81.9191022958,2627700,82.247792
2014-01-09,82.4168331684,82.8488256476,81.8627508971,1687200,82.341702
2014-01-10,82.73612783,82.7549148479,81.7782331494,1863000,82.163267
2014-01-13,82.013012593,82.2196190784,81.0175448108,2215800,81.083282
2014-01-14,81.5152821558,82.3604810304,81.5152821558,2034200,82.125702
2014-01-15,82.2665704249,82.642218752,82.0036197889,2063900,82.529522
2014-01-16,82.2196186913,82.5107428087,81.6185853167,1412100,81.928488
2014-01-17,81.9191021309,81.9848402594,81.1584133766,2931500,81.205372
2014-01-21,80.9987651471,81.0175446521,78.5664581588,6092100,79.82487
2014-01-22,79.7309602363,79.8906080981,79.2144426154,3080900,79.411657
2014-01-23,78.3410647634,79.233229772,77.8715067039,4141800,78.012376
