Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,95.2851314976,95.8222108997,94.729534,1657200,94.729534
2013-08-27,93.7201938945,94.2850532222,92.3219359988,3082700,92.54418
2013-08-28,92.4052796455,92.9516143967,92.331198003,2397200,92.581221
2013-08-29,92.3497216156,93.423874874,92.1367394399,2323500,93.025696
2013-08-30,93.2757189801,93.331276971,92.349721599,2492500,92.692336
2013-09-03,93.6183325424,95.4981062833,93.6090707167,4633500,95.062894
2013-09-04,94.8591723464,95.7573916464,94.5072896421,2567900,95.711089
2013-09-05,95.5907119585,96.4241040415,95.2295664997,1672700,96.007408
2013-09-06,96.4148496655,96.674128005,94.6184119762,2444100,95.590712
2013-09-09,95.8777696112,97.0445281615,95.8777696112,2194400,96.748209
2013-09-10,97.4612237985,98.5353844584,97.2297244546,2881100,98.396483
2013-09-11,98.8687371505,99.850299,98.5446389946,3121300,99.850299
2013-09-12,99.8225200047,101.05409096,99.6836194722,3514000,99.850299
2013-09-13,100.016978774,100.368855,99.4521203726,2219100,100.368855
2013-09-16,101.424491299,101.85971099,100.980016264,2819500,101.581909
2013-09-17,101.489311143,103.220929024,101.387451431,3361400,102.22085
2013-09-18,101.95230968,102.869045234,100.850378354,3718700,102.794971
2013-09-19,103.267224482,104.137663867,103.100544029,3094700,103.711706
2013-09-20,103.711705791,103.887647144,101.470794,5758400,101.470794
2013-09-23,101.56339217,102.637545422,101.02631184,3095900,101.322631
2013-09-24,101.44301496,102.415307572,101.026311513,2520000,101.859711
2013-09-25,101.730072499,102.683847943,101.146696005,2458000,101.174475
2013-09-26,101.554130418,102.211587629,101.035574665,2577300,101.544876
2013-09-27,100.924452193,101.461532523,100.285518633,1846800,101.267074
2013-09-30,100.804075196,100.942975729,99.5447178399,3333000,99.841037
2013-10-01,100.081798797,100.452198675,98.4798196235,4995300,99.433596
2013-10-02,98.8409587633,98.859482415,96.8130291255,5604500,97.211208
2013-10-03,97.0723070112,97.2112075439,95.1277134429,4264800,96.01667
2013-10-04,96.090744315,96.8778476355,95.655531107,2111500,96.553743
2013-10-07,95.7851703267,96.998225036,95.3777296297,2164100,96.331506
2013-10-08,96.3129887174,96.7482084092,95.1277130048,2200500,95.155492
2013-10-09,95.377730285,95.7388683378,94.6461914277,3548600,95.229567
2013-10-10,96.6463487003,98.08164,96.2852097245,3419500,98.08164
2013-10-11,97.8594026386,99.1094981695,97.5723462302,3201600,99.090981
2013-10-14,98.1835005077,99.1465387014,97.8594023532,2435300,98.989121
2013-10-15,98.915039544,98.9983830117,97.9427395228,2710200,97.970525
2013-10-16,98.6279826423,99.2113582128,98.1279431319,3246200,98.553901
2013-10-17,98.1372039236,100.155879114,98.1372039236,2069500,100.026233
2013-10-18,100.08179781,100.415156864,99.1372767871,2708200,99.766955
2013-10-21,99.9151183383,99.9521582332,99.0354162045,2958000,99.65584
2013-10-22,99.6558406499,100.526273556,97.2945445568,5832200,98.276099
2013-10-23,98.3409186464,99.0076376837,97.8408865449,3399000,98.51686
2013-10-24,99.4058162384,99.5354558708,98.3501801582,2654700,99.137277
2013-10-25,98.9983830831,99.5724968257,98.6464994506,2732500,99.563235
2013-10-28,99.1650552613,99.3039567196,98.0723857659,3284200,98.14646
2013-10-29,98.1742391232,98.5724179953,97.9334844352,2246500,98.544639
2013-10-30,98.7020563934,99.2947011947,97.859402487,2031400,98.109419
