Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,43.7962538282,43.7962538282,42.7004919047,13789200,42.707813
2013-08-27,42.2148423798,42.7273376066,42.1147867583,12762400,42.505256
2013-08-28,42.3100189242,42.9006064776,42.3100189242,15672000,42.759064
2013-08-29,42.7346578568,43.2642342462,42.6565616184,9404800,42.798108
2013-08-30,42.8078726657,42.8298357078,42.4173997648,9886400,42.566267
2013-09-03,42.9591785814,43.5375631694,42.7688240025,12550400,43.200784
2013-09-04,43.1714967476,43.4106631871,42.7688245429,9753200,42.998227
2013-09-05,42.9835849401,43.1226884367,42.7639425612,7406800,43.003109
2013-09-06,43.0299535705,43.4131017113,42.7200158948,6697200,43.115367
2013-09-09,43.2642343254,43.598574268,43.2642343254,10801600,43.574172
2013-09-10,44.5161846268,45.0628421906,44.2526159224,19507200,45.0482
2013-09-11,45.1482599984,45.5216480667,44.6382076589,11006000,45.467958
2013-09-12,45.497241947,45.8340247809,45.162902,14212000,45.162902
2013-09-13,45.2678425145,46.1976521258,45.197067615,16403600,46.124438
2013-09-16,46.6027670264,46.6320511636,46.0951536777,11380800,46.217176
2013-09-17,46.2025344469,46.8321664658,46.0170583181,10400800,46.758956
2013-09-18,46.4709807735,47.3446610899,46.4099696123,10474800,47.259244
2013-09-19,47.4740050111,48.3208401816,47.3471008183,14966400,47.517935
2013-09-20,47.6619206339,48.523398,47.3129348339,57707200,48.523398
2013-09-23,48.3110802831,49.0188082989,47.8327510642,19551600,47.891323
2013-09-24,47.8913226716,48.0279871856,47.0078786104,15296400,47.183591
2013-09-25,47.1665098098,47.3446614256,46.5344314908,10594800,46.749192
2013-09-26,46.9663912,47.4666834544,46.7735976387,9326400,47.237281
2013-09-27,46.8541331614,47.2738904438,46.8102034164,7258400,47.11282
2013-09-30,46.5637188746,46.8468116382,46.429493588,9561600,46.636933
2013-10-01,46.6832988783,47.2494844125,46.3855678252,9384800,47.154307
2013-10-02,46.8321663992,47.1006169758,46.6125276807,8712400,46.812646
2013-10-03,46.8541328021,46.8834171834,45.8169430566,19646000,46.039021
2013-10-04,46.0365815854,46.649132424,45.8828324828,9365600,46.485623
2013-10-07,45.868190103,45.868190103,45.4703997738,11785200,45.472839
2013-10-08,45.4508761011,45.9731316437,44.5405871309,16039600,44.545469
2013-10-09,44.7577869799,45.0750457544,43.9548817962,13448000,44.86761
2013-10-10,45.3776617791,46.1537220419,45.2824846116,10865600,46.131759
2013-10-11,46.0756296719,46.90538,45.7583709015,11915200,46.90538
2013-10-14,46.4587782255,47.29341043,46.3733647954,8922400,47.207997
2013-10-15,47.1079380913,47.4471599075,46.702823,10567600,46.702823
2013-10-16,46.9590699832,47.7863813277,46.8175236014,10382800,47.742455
2013-10-17,47.7522152321,48.5038732273,47.7034070352,12605200,48.389172
2013-10-18,48.4965527348,49.0505350624,48.0645927313,14387200,48.918749
2013-10-21,49.0651765315,49.2189222172,48.6283346653,11526000,48.818689
2013-10-22,48.8211318334,49.4629668076,48.6893457731,12202800,48.804047
2013-10-23,48.4867891594,48.5917303109,48.1207221859,7476400,48.53804
2013-10-24,48.7772020812,49.6338012274,48.7137519376,8885600,49.5191
2013-10-25,49.7216570665,49.7607015251,49.1798777119,11014400,49.555705
2013-10-28,49.6801700963,49.9071299078,49.4068376534,6854400,49.560587
2013-10-29,49.6582038716,50.0901638736,49.6582038716,8599600,49.84368
2013-10-30,49.9949869703,50.004747048,49.2091627135,11946400,49.741182
2013-10-31,48.0889981856,48.5404785839,47.4081116715,24035200,47.99626
