Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,78.9217935835,79.1021835487,78.3084585019,10654700,78.551985
2013-08-27,78.128068036,78.9127716402,78.0919886001,13960200,78.308458
2013-08-28,78.7233608695,80.2657173074,78.7233608695,17738800,80.130421
2013-08-29,79.9410091584,79.9410091584,78.6782658777,11407800,78.714339
2013-08-30,78.8225760602,78.9668938037,78.2813998554,12480400,78.615129
2013-09-03,79.1021833342,79.3727750459,78.3174797271,10546700,78.606108
2013-09-04,78.4798334824,79.3547388405,78.3806175131,9822300,79.156306
2013-09-05,79.4268919881,79.6433677052,78.7684623406,11740100,78.786498
2013-09-06,78.912772402,79.1292481178,78.2904221947,12950600,78.696303
2013-09-09,78.7774751471,79.5441494041,78.7504180506,9297000,79.408854
2013-09-10,79.7335615443,79.7335615443,78.7233598915,11823100,79.210421
2013-09-11,79.2645370795,80.1394424375,79.2645370795,11201200,80.130421
2013-09-12,79.904930335,80.0943489541,79.246501593,10917200,79.354739
2013-09-13,79.5080711623,80.1664998985,79.5080711623,8254200,79.733562
2013-09-16,80.1665004029,80.4370921156,79.8147355959,9421300,79.977089
2013-09-17,80.0131687214,80.5904243696,79.9590536257,8941200,80.220623
2013-09-18,80.1935653572,81.0594492744,79.7065042444,15134700,80.797879
2013-09-19,80.8519938061,80.9421892391,80.2567016028,11757500,80.527287
2013-09-20,80.7527776025,80.951210441,79.90492935,20651100,79.968074
2013-09-23,79.6343451112,80.1935650943,79.0480671295,12227700,79.147284
2013-09-24,79.0029660603,79.4359120753,78.7233601282,12129200,78.795519
2013-09-25,79.0029668046,79.0119882421,78.4076745971,13577400,78.597086
2013-09-26,78.8315987099,78.8766923676,78.2994367247,9787100,78.533949
2013-09-27,78.3355152246,78.4798329686,78.1190467263,10867100,78.380617
2013-09-30,77.6229645612,78.2002202067,77.2170837572,17486100,77.604928
2013-10-01,77.5598265626,77.8755119308,77.3704151613,11885100,77.568848
2013-10-02,77.3433572905,77.6680649985,76.9194336138,11841400,77.641007
2013-10-03,77.6049281146,77.6139495521,76.9735492551,13923400,77.117867
2013-10-04,77.8484545626,77.9476705306,77.2802194588,11325500,77.857476
2013-10-07,77.1810032928,77.830417802,76.9104115839,10985800,77.478653
2013-10-08,77.4425742711,77.5237473649,77.090808564,15335700,77.126888
2013-10-09,76.9825696236,77.1990390223,76.5135522925,13575100,76.811202
2013-10-10,77.1359034473,77.604928,76.4774738058,17532400,77.604928
2013-10-11,77.4786539872,78.425711,77.1178668413,12661800,78.425711
2013-10-14,78.0288515521,79.1382628695,78.0288515521,9742100,79.011988
2013-10-15,78.8947350776,78.993951948,78.1461036937,12018000,78.2814
2013-10-16,78.9037562788,79.2465005466,78.2182623313,11668100,78.750418
2013-10-17,78.588064414,78.9217935612,78.4798333212,10438200,78.903757
2013-10-18,79.093167967,79.1382625267,78.7414031625,12425100,78.966894
2013-10-21,78.9217933995,79.0570897064,78.3264939785,10730900,78.678266
2013-10-22,78.7323824786,79.508071869,78.5880647334,12710600,79.354739
2013-10-23,78.9398296906,79.057089436,78.4257105811,11449100,79.02101
2013-10-24,79.3547386338,80.0312111497,79.3457171964,12288900,79.751598
2013-10-25,79.5802292755,79.9590529815,79.2104215952,11382000,79.345717
2013-10-28,79.2194437538,79.7876779651,79.0210109126,9921900,79.58023
2013-10-29,79.7786558846,80.3017964334,79.7696407609,10340000,80.211601
